PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP1_peak_930	XVI	296865	297336	+	40	NA	promoter-TSS (YPL135W)	protein_coding-promoter-TSS (YPL135W)	-453	YPL137C	YPL137C	YPL137C			GIP3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_977	XVI	856850	857298	+	40	NA	promoter-TSS (YPR158C-C)	protein_coding-promoter-TSS (YPR158C-C)	172	tA(AGC)P	tA(AGC)P	tA(AGC)P			tA(AGC)P			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_740	XIII	674993	675562	+	40	NA	promoter-TSS (YMR205C)	protein_coding-promoter-TSS (YMR205C)	-511	YMR205C	YMR205C	YMR205C			PFK2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_286	V	221531	221823	+	40	NA	promoter-TSS (YER033C)	protein_coding-promoter-TSS (YER033C)	-169	YER034W	YER034W	YER034W			YER034W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_459	VIII	122093	122658	+	40	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	390	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_810	XIV	651909	652251	+	40	NA	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-368	YNR013C	YNR013C	YNR013C			PHO91			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_812	XIV	663779	664170	+	40	NA	promoter-TSS (YNR018W)	protein_coding-promoter-TSS (YNR018W)	-296	YNR018W	YNR018W	YNR018W			RCF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_307	V	362283	362642	+	40	NA	promoter-TSS (YER101C)	protein_coding-promoter-TSS (YER101C)	-638	YER102W	YER102W	YER102W			RPS8B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_296	V	292773	292987	+	40	NA	promoter-TSS (YER066C-A)	protein_coding-promoter-TSS (YER066C-A)	-170	YER068W	YER068W	YER068W			MOT2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_792	XIV	426965	427679	+	40	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-413	YNL103W	YNL103W	YNL103W			MET4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_300	V	311418	311977	+	40	NA	promoter-TSS (YER075C)	protein_coding-promoter-TSS (YER075C)	398	tA(UGC)E	tA(UGC)E	tA(UGC)E			tA(UGC)E			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_63	II	504470	504762	+	40	NA	promoter-TSS (YBR133C)	protein_coding-promoter-TSS (YBR133C)	-238	YBR135W	YBR135W	YBR135W			CKS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_441	VII	1000047	1000721	+	40	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-543	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_908	XVI	24718	24945	+	39	NA	promoter-TSS (YPL273W)	protein_coding-promoter-TSS (YPL273W)	-256	YPL273W	YPL273W	YPL273W			SAM4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_554	XI	93572	93946	+	39	NA	promoter-TSS (YKL185W)	protein_coding-promoter-TSS (YKL185W)	-461	YKL186C	YKL186C	YKL186C			MTR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_21	II	36171	36815	+	39	NA	promoter-TSS (YBL099W)	protein_coding-promoter-TSS (YBL099W)	95	tF(GAA)B	tF(GAA)B	tF(GAA)B			tF(GAA)B			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_5	I	45288	45620	+	39	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-432	YAL054C	YAL054C	YAL054C			ACS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_358	VII	67188	67679	+	39	NA	promoter-TSS (YGL228W)	protein_coding-promoter-TSS (YGL228W)	-165	YGL228W	YGL228W	YGL228W			SHE10			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_367	VII	197093	197875	+	39	NA	promoter-TSS (YGL162W)	protein_coding-promoter-TSS (YGL162W)	-654	YGL162W	YGL162W	YGL162W			SUT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_702	XIII	253221	253656	+	39	NA	promoter-TSS (YML007C-A)	protein_coding-promoter-TSS (YML007C-A)	-166	YML007C-A	YML007C-A	YML007C-A			YML007C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_166	IV	769120	769583	+	39	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-174	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_590	XI	513155	513387	+	39	NA	promoter-TSS (YKR038C)	protein_coding-promoter-TSS (YKR038C)	-112	YKR038C	YKR038C	YKR038C			KAE1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_142	IV	410351	411700	+	39	NA	promoter-TSS (YDL022C-A)	protein_coding-promoter-TSS (YDL022C-A)	646	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_628	XII	369892	371357	+	39	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-167	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_972	XVI	794532	794976	+	39	NA	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-211	YPR132W	YPR132W	YPR132W			RPS23B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_264	IX	415700	416135	+	39	NA	promoter-TSS (YIR032C)	protein_coding-promoter-TSS (YIR032C)	-207	YIR033W	YIR033W	YIR033W			MGA2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_193	IV	1164921	1165586	+	39	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-593	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_846	XV	316081	316736	+	38	NA	promoter-TSS (YOL004W)	protein_coding-promoter-TSS (YOL004W)	-233	YOL005C	YOL005C	YOL005C			RPB11			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_473	VIII	296813	297225	+	38	NA	promoter-TSS (YHR096C)	protein_coding-promoter-TSS (YHR096C)	-572	YHR096C	YHR096C	YHR096C			HXT5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_138	IV	357059	357737	+	38	NA	promoter-TSS (YDL055C)	protein_coding-promoter-TSS (YDL055C)	-639	YDL055C	YDL055C	YDL055C			PSA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_515	X	378395	378621	+	38	NA	promoter-TSS (YJL036W)	protein_coding-promoter-TSS (YJL036W)	148	tV(AAC)J	tV(AAC)J	tV(AAC)J			tV(AAC)J			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_700	XIII	225497	225842	+	38	NA	promoter-TSS (YML024W)	protein_coding-promoter-TSS (YML024W)	-220	YML024W	YML024W	YML024W			RPS17A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_59	II	466059	467066	+	38	NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-686	YBR114W	YBR114W	YBR114W			RAD16			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_481	VIII	450574	451087	+	38	NA	promoter-TSS (YHR174W)	protein_coding-promoter-TSS (YHR174W)	323	YHR173C	YHR173C	YHR173C			YHR173C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_658	XII	783573	783946	+	38	NA	promoter-TSS (YLR327C)	protein_coding-promoter-TSS (YLR327C)	-372	YLR327C	YLR327C	YLR327C			TMA10			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_976	XVI	840218	840930	+	38	NA	promoter-TSS (YPR156C)	protein_coding-promoter-TSS (YPR156C)	-692	YPR157W	YPR157W	YPR157W			TDA6			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_723	XIII	433827	434644	+	38	NA	promoter-TSS (YMR083W)	protein_coding-promoter-TSS (YMR083W)	-553	YMR083W	YMR083W	YMR083W			ADH3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_653	XII	723297	723673	+	37	NA	promoter-TSS (YLR297W)	protein_coding-promoter-TSS (YLR297W)	507	YLR296W	YLR296W	YLR296W			YLR296W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_613	XII	81131	81366	+	37	NA	promoter-TSS (YLL029W)	protein_coding-promoter-TSS (YLL029W)	-213	YLL029W	YLL029W	YLL029W			FRA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_541	X	683475	683858	+	37	NA	promoter-TSS (YJR137C)	protein_coding-promoter-TSS (YJR137C)	-381	YJR137C	YJR137C	YJR137C			MET5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_370	VII	228362	228714	+	37	NA	promoter-TSS (YGL147C)	protein_coding-promoter-TSS (YGL147C)	-209	YGL147C	YGL147C	YGL147C			RPL9A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_493	X	75459	75773	+	37	NA	promoter-TSS (YJL189W)	protein_coding-promoter-TSS (YJL189W)	-314	YJL190C	YJL190C	YJL190C			RPS22A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_584	XI	428923	429341	+	37	NA	promoter-TSS (YKL007W)	protein_coding-promoter-TSS (YKL007W)	-170	YKL007W	YKL007W	YKL007W			CAP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_397	VII	547253	547766	+	37	NA	promoter-TSS (YGR031C-A)	protein_coding-promoter-TSS (YGR031C-A)	-209	YGR031C-A	YGR031C-A	YGR031C-A			NAG1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_422	VII	788206	788662	+	37	NA	promoter-TSS (YGR148C)	protein_coding-promoter-TSS (YGR148C)	-597	YGR149W	YGR149W	YGR149W			YGR149W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_224	IV	1489938	1490842	+	37	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-206	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_616	XII	124942	125378	+	37	NA	promoter-TSS (YLL012W)	protein_coding-promoter-TSS (YLL012W)	-374	YLL012W	YLL012W	YLL012W			YEH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_926	XVI	227722	228097	+	37	NA	promoter-TSS (YPL170W)	protein_coding-promoter-TSS (YPL170W)	-405	YPL170W	YPL170W	YPL170W			DAP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_392	VII	438477	438873	+	37	NA	promoter-TSS (YGL030W)	protein_coding-promoter-TSS (YGL030W)	-416	YGL030W	YGL030W	YGL030W			RPL30			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_623	XII	252994	253805	+	37	NA	promoter-TSS (YLR055C)	protein_coding-promoter-TSS (YLR055C)	-319	YLR055C	YLR055C	YLR055C			SPT8			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_559	XI	158315	158552	+	36	NA	promoter-TSS (YKL156W)	protein_coding-promoter-TSS (YKL156W)	-180	YKL156W	YKL156W	YKL156W			RPS27A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_880	XV	779485	780257	+	36	NA	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	1	YOR235W	YOR235W	YOR235W			IRC13			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_561	XI	164458	164834	+	36	NA	promoter-TSS (YKL152C)	protein_coding-promoter-TSS (YKL152C)	-261	YKL152C	YKL152C	YKL152C			GPM1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_877	XV	762095	762555	+	36	NA	promoter-TSS (YOR226C)	protein_coding-promoter-TSS (YOR226C)	-241	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_183	IV	976368	976776	+	36	NA	promoter-TSS (YDR259C)	protein_coding-promoter-TSS (YDR259C)	657	YDR260C	YDR260C	YDR260C			SWM1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_176	IV	909295	909761	+	36	NA	promoter-TSS (YDR222W)	protein_coding-promoter-TSS (YDR222W)	-526	YDR222W	YDR222W	YDR222W			YDR222W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_368	VII	205383	205779	+	36	NA	promoter-TSS (tL(CAA)G1)	tRNA-promoter-TSS (tL(CAA)G1)	60	tL(CAA)G1	tL(CAA)G1	tL(CAA)G1			tL(CAA)G1			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_859	XV	487301	487946	+	36	NA	promoter-TSS (YOR086C)	protein_coding-promoter-TSS (YOR086C)	-84	YOR087W	YOR087W	YOR087W			YVC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_94	III	123355	124004	+	36	NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	-31	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_798	XIV	495069	495342	+	36	NA	promoter-TSS (YNL069C)	protein_coding-promoter-TSS (YNL069C)	-204	YNL069C	YNL069C	YNL069C			RPL16B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_657	XII	781518	781729	+	36	NA	promoter-TSS (YLR325C)	protein_coding-promoter-TSS (YLR325C)	-244	YLR325C	YLR325C	YLR325C			RPL38			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_516	X	391468	392259	+	36	NA	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	386	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_773	XIV	198017	198901	+	36	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-516	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_768	XIV	96134	96451	+	36	NA	promoter-TSS (tG(UCC)N)	tRNA-promoter-TSS (tG(UCC)N)	20	tG(UCC)N	tG(UCC)N	tG(UCC)N			SUF6			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_501	X	157386	157684	+	36	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-262	YJL136C	YJL136C	YJL136C			RPS21B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_163	IV	721738	722195	+	36	NA	promoter-TSS (YDR133C)	protein_coding-promoter-TSS (YDR133C)	-485	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
OSMOTIC_STRESS_T100_SE_REP1_peak_958	XVI	645038	645809	+	36	NA	promoter-TSS (YPR036W-A)	protein_coding-promoter-TSS (YPR036W-A)	-527	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_31	II	159690	160135	+	36	NA	promoter-TSS (YBL032W)	protein_coding-promoter-TSS (YBL032W)	-219	YBL033C	YBL033C	YBL033C			RIB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_480	VIII	422402	422855	+	35	NA	promoter-TSS (YHR161C)	protein_coding-promoter-TSS (YHR161C)	-342	YHR161C	YHR161C	YHR161C			YAP1801			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_132	IV	239777	240012	+	35	NA	promoter-TSS (YDL124W)	protein_coding-promoter-TSS (YDL124W)	-288	YDL125C	YDL125C	YDL125C			HNT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_54	II	415395	415846	+	35	NA	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	-359	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_158	IV	591627	592353	+	35	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-449	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_622	XII	241846	242182	+	35	NA	promoter-TSS (YLR047C)	protein_coding-promoter-TSS (YLR047C)	-218	YLR048W	YLR048W	YLR048W			RPS0B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_155	IV	556602	557100	+	35	NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-379	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_263	IX	386474	386931	+	35	NA	Intergenic	Intergenic	-1001	YIR018C-A	YIR018C-A	YIR018C-A			YIR018C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_959	XVI	653651	654129	+	35	NA	promoter-TSS (YPR042C)	protein_coding-promoter-TSS (YPR042C)	-228	YPR042C	YPR042C	YPR042C			PUF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_927	XVI	256995	257476	+	35	NA	promoter-TSS (YPL156C)	protein_coding-promoter-TSS (YPL156C)	-468	YPL156C	YPL156C	YPL156C			PRM4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_90	III	50345	50642	+	35	NA	promoter-TSS (YCL040W)	protein_coding-promoter-TSS (YCL040W)	-91	YCL042W	YCL042W	YCL042W			YCL042W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_390	VII	428215	428505	+	35	NA	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-241	YGL036W	YGL036W	YGL036W			YGL036W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_303	V	342454	342822	+	35	NA	promoter-TSS (YER091C)	protein_coding-promoter-TSS (YER091C)	-27	YER091C-A	YER091C-A	YER091C-A			YER091C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_337	VI	74766	75055	+	35	NA	promoter-TSS (YFL031W)	protein_coding-promoter-TSS (YFL031W)	38	YFL032W	YFL032W	YFL032W			YFL032W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_185	IV	1011293	1011885	+	35	NA	promoter-TSS (YDR275W)	protein_coding-promoter-TSS (YDR275W)	371	YDR274C	YDR274C	YDR274C			YDR274C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_225	IV	1496694	1496927	+	35	NA	promoter-TSS (YDR529C)	protein_coding-promoter-TSS (YDR529C)	-262	YDR529C	YDR529C	YDR529C			QCR7			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_754	XIII	886355	886798	+	35	NA	promoter-TSS (YMR306C-A)	protein_coding-promoter-TSS (YMR306C-A)	-4	YMR306C-A	YMR306C-A	YMR306C-A			YMR306C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_99	III	178282	178840	+	35	NA	promoter-TSS (YCR031C)	protein_coding-promoter-TSS (YCR031C)	237	snR189	snR189	snR189			snR189			snoRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_226	IV	1507287	1507589	+	35	NA	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	-76	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_36	II	193543	193948	+	35	NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-377	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_179	IV	930527	930910	+	35	NA	promoter-TSS (YDR233C)	protein_coding-promoter-TSS (YDR233C)	-361	YDR233C	YDR233C	YDR233C			RTN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_652	XII	713206	713507	+	34	NA	promoter-TSS (YLR287C-A)	protein_coding-promoter-TSS (YLR287C-A)	-198	YLR287C-A	YLR287C-A	YLR287C-A			RPS30A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_69	II	604157	604407	+	34	NA	promoter-TSS (YBR188C)	protein_coding-promoter-TSS (YBR188C)	-175	YBR188C	YBR188C	YBR188C			NTC20			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_650	XII	664939	665386	+	34	NA	promoter-TSS (YLR259C)	protein_coding-promoter-TSS (YLR259C)	-160	YLR259C	YLR259C	YLR259C			HSP60			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_726	XIII	472904	473307	+	34	NA	promoter-TSS (YMR102C)	protein_coding-promoter-TSS (YMR102C)	159	YMR103C	YMR103C	YMR103C			YMR103C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_882	XV	796917	797245	+	34	NA	promoter-TSS (YOR246C)	protein_coding-promoter-TSS (YOR246C)	-288	YOR246C	YOR246C	YOR246C			ENV9			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_462	VIII	146175	146395	+	34	NA	promoter-TSS (tA(AGC)H)	tRNA-promoter-TSS (tA(AGC)H)	29	tA(AGC)H	tA(AGC)H	tA(AGC)H			tA(AGC)H			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_519	X	424186	424598	+	34	NA	promoter-TSS (YJL005W)	protein_coding-promoter-TSS (YJL005W)	123	tL(UAA)J	tL(UAA)J	tL(UAA)J			SUP51			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_204	IV	1278655	1279050	+	34	NA	promoter-TSS (YDR406W)	protein_coding-promoter-TSS (YDR406W)	-358	YDR406W	YDR406W	YDR406W			PDR15			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_170	IV	835685	836521	+	34	NA	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-318	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_765	XIV	63016	63501	+	34	NA	promoter-TSS (YNL302C)	protein_coding-promoter-TSS (YNL302C)	-315	YNL302C	YNL302C	YNL302C			RPS19B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_566	XI	226185	226404	+	34	NA	promoter-TSS (YKL112W)	protein_coding-promoter-TSS (YKL112W)	-276	YKL112W	YKL112W	YKL112W			ABF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_371	VII	229850	230144	+	34	NA	promoter-TSS (YGL145W)	protein_coding-promoter-TSS (YGL145W)	-246	YGL145W	YGL145W	YGL145W			TIP20			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_414	VII	733147	733502	+	34	NA	promoter-TSS (YGR121C)	protein_coding-promoter-TSS (YGR121C)	-88	YGR121W-A	YGR121W-A	YGR121W-A			YGR121W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_407	VII	650657	651507	+	34	NA	promoter-TSS (YGR086C)	protein_coding-promoter-TSS (YGR086C)	-465	YGR086C	YGR086C	YGR086C			PIL1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_614	XII	83913	84496	+	34	NA	promoter-TSS (YLL028W)	protein_coding-promoter-TSS (YLL028W)	-600	YLL028W	YLL028W	YLL028W			TPO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_510	X	337646	337934	+	33	NA	promoter-TSS (YJL052W)	protein_coding-promoter-TSS (YJL052W)	213	YJL052C-A	YJL052C-A	YJL052C-A			YJL052C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_714	XIII	352883	353530	+	33	NA	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	603	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_893	XV	908573	909056	+	33	NA	promoter-TSS (YOR316C-A)	protein_coding-promoter-TSS (YOR316C-A)	-529	YOR317W	YOR317W	YOR317W			FAA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_439	VII	976810	977202	+	33	NA	promoter-TSS (YGR241C)	protein_coding-promoter-TSS (YGR241C)	-330	YGR243W	YGR243W	YGR243W			MPC3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_65	II	564842	565468	+	33	NA	promoter-TSS (YBR162C)	protein_coding-promoter-TSS (YBR162C)	-76	YBR162W-A	YBR162W-A	YBR162W-A			YSY6			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_819	XV	27850	28109	+	33	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	895	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_341	VI	101155	101513	+	33	NA	promoter-TSS (YFL019C)	protein_coding-promoter-TSS (YFL019C)	-42	tP(UGG)F	tP(UGG)F	tP(UGG)F			SUF9			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_449	VIII	4887	5207	+	33	NA	promoter-TSS (YHL049C)	protein_coding-promoter-TSS (YHL049C)	-506	YHL049C	YHL049C	YHL049C			YHL049C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_346	VI	183922	184358	+	33	NA	promoter-TSS (YFR018C)	protein_coding-promoter-TSS (YFR018C)	82	YFR018C	YFR018C	YFR018C			YFR018C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_362	VII	121978	122526	+	33	NA	promoter-TSS (tK(CUU)G1)	tRNA-promoter-TSS (tK(CUU)G1)	-17	tK(CUU)G1	tK(CUU)G1	tK(CUU)G1			tK(CUU)G1			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_961	XVI	678641	679464	+	33	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	101	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_305	V	349539	349856	+	33	NA	promoter-TSS (YER094C)	protein_coding-promoter-TSS (YER094C)	-283	YER095W	YER095W	YER095W			RAD51			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_329	V	545105	545539	+	33	NA	promoter-TSS (YER177W)	protein_coding-promoter-TSS (YER177W)	-289	YER177W	YER177W	YER177W			BMH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_221	IV	1461573	1461951	+	32	NA	promoter-TSS (YDR506C)	protein_coding-promoter-TSS (YDR506C)	67	tL(CAA)D	tL(CAA)D	tL(CAA)D			tL(CAA)D			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_563	XI	202980	203378	+	32	NA	promoter-TSS (YKL127W)	protein_coding-promoter-TSS (YKL127W)	180	tK(CUU)K	tK(CUU)K	tK(CUU)K			tK(CUU)K			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_411	VII	700597	700970	+	32	NA	promoter-TSS (YGR106C)	protein_coding-promoter-TSS (YGR106C)	108	tL(GAG)G	tL(GAG)G	tL(GAG)G			tL(GAG)G			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_434	VII	914854	915180	+	32	NA	promoter-TSS (YGR210C)	protein_coding-promoter-TSS (YGR210C)	-224	YGR211W	YGR211W	YGR211W			ZPR1			protein_coding
