# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam
Interval_987	XIII	124216	124599	+	384	15	16	16	17
Interval_988	XIII	131639	131911	+	273	4	6	4	10
Interval_989	XIII	145797	146434	+	638	17	20	22	19
Interval_990	XIII	158871	159360	+	490	5	15	6	18
Interval_991	XIII	162426	162626	+	201	4	4	7	4
Interval_992	XIII	169838	170382	+	545	19	26	20	32
Interval_993	XIII	178213	178458	+	246	3	7	4	7
Interval_994	XIII	183837	184064	+	228	6	3	7	3
Interval_995	XIII	192073	192283	+	211	1	4	2	4
Interval_996	XIII	195818	196477	+	660	11	7	12	11
Interval_997	XIII	213699	214139	+	441	4	3	5	3
Interval_998	XIII	219818	220034	+	217	3	6	4	9
Interval_999	XIII	220848	221190	+	343	5	13	6	14
Interval_1000	XIII	223885	224223	+	339	9	16	10	15
Interval_1001	XIII	225462	225919	+	458	17	19	17	24
Interval_1002	XIII	236220	236504	+	285	2	5	4	6
Interval_1003	XIII	243970	244195	+	226	4	7	5	7
Interval_1004	XIII	245876	246076	+	201	5	1	6	3
Interval_1005	XIII	253140	253777	+	638	18	18	17	19
Interval_1006	XIII	258824	259169	+	346	3	9	3	13
Interval_1007	XIII	271492	272165	+	674	26	20	31	23
Interval_1008	XIII	279696	280269	+	574	10	11	10	12
Interval_1009	XIII	282929	283200	+	272	5	7	5	9
Interval_1010	XIII	287428	287853	+	426	15	24	16	24
Interval_1011	XIII	290824	291178	+	355	5	9	6	9
Interval_1012	XIII	296727	297082	+	356	9	10	9	10
Interval_1013	XIII	302756	303164	+	409	15	10	17	12
Interval_1014	XIII	306084	306923	+	840	41	40	44	42
Interval_1015	XIII	325646	325881	+	236	4	4	5	3
Interval_1016	XIII	334704	335115	+	412	5	10	6	13
Interval_1017	XIII	340958	341268	+	311	2	9	2	9
Interval_1018	XIII	346989	347483	+	495	10	18	11	23
Interval_1019	XIII	349834	350129	+	296	7	11	9	13
Interval_1020	XIII	352312	353530	+	1219	33	39	35	40
Interval_1021	XIII	361627	363235	+	1609	17	16	25	24
Interval_1022	XIII	372301	372564	+	264	1	9	2	9
Interval_1023	XIII	379117	379476	+	360	9	14	11	15
Interval_1024	XIII	387916	388715	+	800	32	30	32	34
Interval_1025	XIII	396565	396964	+	400	3	6	4	5
Interval_1026	XIII	407528	408860	+	1333	56	59	61	63
Interval_1027	XIII	420241	420683	+	443	6	10	7	10
Interval_1028	XIII	433689	434728	+	1040	28	29	30	34
Interval_1029	XIII	453430	453865	+	436	4	6	5	8
Interval_1030	XIII	463110	463686	+	577	9	9	9	10
Interval_1031	XIII	465640	465893	+	254	6	3	7	5
Interval_1032	XIII	472712	473409	+	698	25	15	27	18
Interval_1033	XIII	480433	480917	+	485	8	7	9	8
Interval_1034	XIII	482595	483679	+	1085	8	10	8	10
Interval_1035	XIII	498470	498741	+	272	3	4	4	3
Interval_1036	XIII	500743	501099	+	357	4	8	5	7
Interval_1037	XIII	504849	505148	+	300	5	7	8	9
Interval_1038	XIII	510341	511250	+	910	28	37	30	38
Interval_1039	XIII	540053	540839	+	787	22	41	27	46
Interval_1040	XIII	551120	551875	+	756	38	47	43	52
Interval_1041	XIII	556742	557380	+	639	33	22	37	28
Interval_1042	XIII	601034	601425	+	392	6	4	6	5
Interval_1043	XIII	608324	608524	+	201	5	2	6	2
Interval_1044	XIII	616117	616332	+	216	1	6	1	7
Interval_1045	XIII	625673	626145	+	473	6	2	7	5
Interval_1046	XIII	627843	628184	+	342	6	10	6	10
Interval_1047	XIII	637104	637420	+	317	5	8	5	7
Interval_1048	XIII	652710	654100	+	1391	23	55	23	65
Interval_1049	XIII	661633	662278	+	646	13	25	12	29
Interval_1050	XIII	667135	667450	+	316	5	7	5	7
Interval_1051	XIII	674942	675565	+	624	15	23	17	25
Interval_1052	XIII	701176	701376	+	201	3	5	3	9
Interval_1053	XIII	732130	732384	+	255	7	4	5	4
Interval_1054	XIII	742809	743778	+	970	7	10	7	11
Interval_1055	XIII	751318	751600	+	283	5	10	6	8
Interval_1056	XIII	754293	754542	+	250	5	16	5	20
Interval_1057	XIII	758888	759529	+	642	22	37	26	37
Interval_1058	XIII	773855	774558	+	704	19	29	23	33
Interval_1059	XIII	777294	777842	+	549	8	11	9	13
Interval_1060	XIII	797897	798374	+	478	14	22	15	23
Interval_1061	XIII	807963	809031	+	1069	9	13	8	14
Interval_1062	XIII	810888	811146	+	259	2	12	2	12
Interval_1063	XIII	831562	832158	+	597	4	6	4	5
Interval_1064	XIII	851614	852464	+	851	12	18	11	17
Interval_1065	XIII	861000	861968	+	969	18	22	18	23
Interval_1066	XIII	867402	867671	+	270	7	1	7	2
Interval_1067	XIII	872572	872972	+	401	8	12	8	12
Interval_1068	XIII	880507	880989	+	483	17	12	17	13
Interval_1069	XIII	886366	886805	+	440	5	16	5	16
Interval_1070	XIII	888321	888651	+	331	2	3	4	5
Interval_1071	XIII	895446	895902	+	457	2	7	2	8
Interval_1072	XIII	897505	897734	+	230	3	3	4	3
Interval_1073	XIII	901378	901631	+	254	4	10	5	7
Interval_1074	XIII	904194	904846	+	653	12	9	14	9
Interval_1075	XIII	914894	915649	+	756	34	27	36	34
Interval_1076	XIII	923622	924422	+	801	57	67	63	86
Interval_1077	XIV	6532	7336	+	805	50	50	50	59
Interval_1078	XIV	19202	19455	+	254	3	5	4	7
Interval_1079	XIV	22780	23793	+	1014	7	17	7	17
Interval_1080	XIV	34196	34793	+	598	6	11	6	12
Interval_1081	XIV	44289	44568	+	280	5	4	6	4
Interval_1082	XIV	51698	52187	+	490	2	7	3	10
Interval_1083	XIV	57555	58243	+	689	9	18	11	18
Interval_1084	XIV	62924	63664	+	741	21	21	22	24
Interval_1085	XIV	68341	68808	+	468	9	9	9	11
Interval_1086	XIV	87043	87646	+	604	13	12	13	13
Interval_1087	XIV	88949	90156	+	1208	22	21	24	22
Interval_1088	XIV	96133	96480	+	348	5	13	6	16
Interval_1089	XIV	101623	101979	+	357	4	2	7	4
Interval_1090	XIV	104209	104937	+	729	10	10	12	11
Interval_1091	XIV	107147	107532	+	386	6	11	7	13
Interval_1092	XIV	110495	110809	+	315	7	8	9	8
Interval_1093	XIV	116213	117033	+	821	13	11	12	13
Interval_1094	XIV	137908	138453	+	546	7	15	8	18
Interval_1095	XIV	145579	145805	+	227	3	1	2	3
Interval_1096	XIV	169720	169951	+	232	4	5	3	5
Interval_1097	XIV	174414	174908	+	495	8	7	10	9
Interval_1098	XIV	187414	188029	+	616	5	11	8	11
Interval_1099	XIV	197989	198969	+	981	24	37	24	34
Interval_1100	XIV	209820	210178	+	359	5	9	6	11
Interval_1101	XIV	217308	217722	+	415	6	15	6	15
Interval_1102	XIV	229647	229923	+	277	2	5	3	6
Interval_1103	XIV	233762	234114	+	353	8	8	9	8
Interval_1104	XIV	239826	240476	+	651	5	16	5	18
Interval_1105	XIV	241545	241790	+	246	2	7	2	8
Interval_1106	XIV	276003	276369	+	367	9	5	9	5
Interval_1107	XIV	277079	277342	+	264	2	6	3	6
Interval_1108	XIV	281488	282086	+	599	15	23	14	25
Interval_1109	XIV	289054	289254	+	201	2	5	2	7
Interval_1110	XIV	301155	302645	+	1491	21	34	23	37
Interval_1111	XIV	310075	310546	+	472	4	13	4	13
Interval_1112	XIV	330892	331321	+	430	15	24	18	26
Interval_1113	XIV	332366	332557	+	192	2	3	2	5
Interval_1114	XIV	340177	340572	+	396	2	9	3	10
Interval_1115	XIV	349822	350505	+	684	20	43	24	48
Interval_1116	XIV	355253	355997	+	745	25	31	30	38
Interval_1117	XIV	373475	375194	+	1720	17	31	18	33
Interval_1118	XIV	392527	392727	+	201	1	5	2	5
Interval_1119	XIV	405655	406033	+	379	13	15	14	16
Interval_1120	XIV	412183	412690	+	508	7	9	7	12
Interval_1121	XIV	415612	416575	+	964	16	11	18	11
Interval_1122	XIV	426964	427664	+	701	25	28	25	32
Interval_1123	XIV	440747	441259	+	513	13	23	17	24
Interval_1124	XIV	442783	443102	+	320	5	10	10	11
Interval_1125	XIV	444329	444715	+	387	6	11	7	15
Interval_1126	XIV	452013	452213	+	201	2	6	3	5
Interval_1127	XIV	479127	481065	+	1939	19	28	20	32
Interval_1128	XIV	495048	495449	+	402	19	17	21	19
Interval_1129	XIV	498726	500892	+	2167	21	35	23	37
Interval_1130	XIV	503114	503530	+	417	11	15	11	17
Interval_1131	XIV	507380	507895	+	516	8	9	9	10
Interval_1132	XIV	515228	515479	+	252	2	1	3	1
Interval_1133	XIV	518991	519793	+	803	4	9	5	12
Interval_1134	XIV	546639	547995	+	1357	14	20	15	22
Interval_1135	XIV	559198	560861	+	1664	36	46	36	47
Interval_1136	XIV	567994	568481	+	488	11	11	13	13
Interval_1137	XIV	569460	570114	+	655	15	19	17	22
Interval_1138	XIV	576082	576879	+	798	20	25	23	26
Interval_1139	XIV	586443	587796	+	1354	13	21	13	22
Interval_1140	XIV	602228	602755	+	528	9	15	10	15
Interval_1141	XIV	604777	605159	+	383	10	7	10	8
Interval_1142	XIV	619771	620042	+	272	6	7	6	11
Interval_1143	XIV	622520	622720	+	201	6	2	7	4
Interval_1144	XIV	631344	633560	+	2217	34	20	33	21
Interval_1145	XIV	642179	642543	+	365	9	1	9	1
Interval_1146	XIV	651908	653563	+	1656	18	22	21	26
Interval_1147	XIV	661924	662653	+	730	34	43	37	42
Interval_1148	XIV	663658	664216	+	559	18	25	23	26
Interval_1149	XIV	693907	694314	+	408	4	8	5	9
Interval_1150	XIV	707619	708555	+	937	13	13	15	14
Interval_1151	XIV	738793	739656	+	864	16	18	19	20
Interval_1152	XIV	759297	759609	+	313	7	5	7	7
Interval_1153	XIV	762967	763423	+	457	4	7	5	8
Interval_1154	XIV	763967	764426	+	460	5	5	7	5
Interval_1155	XIV	778858	779093	+	236	7	5	6	5
Interval_1156	XIV	783428	784178	+	751	34	35	39	44
Interval_1157	XV	0	741	+	742	59	63	68	71
Interval_1158	XV	21084	21846	+	763	13	10	12	11
Interval_1159	XV	27500	28095	+	596	14	14	24	19
Interval_1160	XV	31845	32291	+	447	7	5	9	6
Interval_1161	XV	55083	55814	+	732	6	16	8	18
Interval_1162	XV	58501	58701	+	201	2	8	2	8
Interval_1163	XV	61105	61319	+	215	1	8	2	8
Interval_1164	XV	69047	70317	+	1271	16	23	17	27
Interval_1165	XV	77460	77663	+	204	5	5	6	7
Interval_1166	XV	79803	80191	+	389	12	20	12	25
Interval_1167	XV	81695	82016	+	322	7	9	9	10
Interval_1168	XV	82747	83678	+	932	26	25	29	29
Interval_1169	XV	92913	93565	+	653	14	16	14	17
Interval_1170	XV	94364	94725	+	362	8	14	10	13
Interval_1171	XV	109104	110208	+	1105	63	95	67	107
Interval_1172	XV	117581	118159	+	579	10	3	13	9
Interval_1173	XV	127927	128908	+	982	13	18	15	18
Interval_1174	XV	158975	161883	+	2909	99	96	108	103
Interval_1175	XV	167963	168561	+	599	15	17	17	17
Interval_1176	XV	170102	170806	+	705	22	11	21	10
Interval_1177	XV	216189	216883	+	695	26	31	30	34
Interval_1178	XV	218737	219025	+	289	9	10	12	11
Interval_1179	XV	227909	228617	+	709	9	14	8	16
Interval_1180	XV	232013	232530	+	518	7	12	7	15
Interval_1181	XV	234186	235044	+	859	14	18	14	16
Interval_1182	XV	253638	254194	+	557	29	25	30	28
Interval_1183	XV	267723	267923	+	201	4	5	4	5
Interval_1184	XV	273807	274929	+	1123	19	17	21	23
Interval_1185	XV	285554	286051	+	498	10	8	11	11
Interval_1186	XV	288181	288778	+	598	14	20	15	22
Interval_1187	XV	301030	301266	+	237	5	10	4	10
Interval_1188	XV	304192	305075	+	884	17	32	20	33
Interval_1189	XV	315922	316700	+	779	16	26	17	28
Interval_1190	XV	347309	347616	+	308	4	6	5	8
Interval_1191	XV	349231	349789	+	559	2	8	2	10
Interval_1192	XV	370951	371479	+	529	5	5	7	4
Interval_1193	XV	377817	378150	+	334	7	9	9	11
Interval_1194	XV	384720	385096	+	377	9	10	9	8
Interval_1195	XV	391380	391911	+	532	7	18	8	18
Interval_1196	XV	424185	424629	+	445	13	19	14	20
Interval_1197	XV	431784	432056	+	273	3	8	4	8
Interval_1198	XV	438691	439268	+	578	5	3	6	5
Interval_1199	XV	443348	444447	+	1100	22	25	23	25
Interval_1200	XV	446561	447090	+	530	4	16	5	17
Interval_1201	XV	461655	462887	+	1233	12	23	15	26
Interval_1202	XV	464377	464694	+	318	4	8	5	9
Interval_1203	XV	471716	472724	+	1009	10	15	10	18
Interval_1204	XV	479833	480483	+	651	4	15	5	16
Interval_1205	XV	487080	487945	+	866	15	24	18	28
Interval_1206	XV	494172	495101	+	930	18	37	18	41
Interval_1207	XV	504360	505795	+	1436	34	33	39	39
Interval_1208	XV	511316	511781	+	466	11	21	14	23
Interval_1209	XV	514320	515033	+	714	12	10	14	16
Interval_1210	XV	520474	520975	+	502	14	14	15	16
Interval_1211	XV	522699	522903	+	205	7	1	8	1
Interval_1212	XV	579795	580064	+	270	4	9	5	9
Interval_1213	XV	586372	586639	+	268	5	7	6	7
Interval_1214	XV	592604	592882	+	279	3	7	4	8
Interval_1215	XV	606276	606548	+	273	4	8	4	9
Interval_1216	XV	618651	619647	+	997	22	39	22	49
Interval_1217	XV	631878	632158	+	281	8	4	8	4
Interval_1218	XV	638773	639700	+	928	18	30	18	31
Interval_1219	XV	648530	649172	+	643	5	9	7	9
Interval_1220	XV	663574	663774	+	201	5	1	5	2
Interval_1221	XV	670878	671405	+	528	13	21	13	21
Interval_1222	XV	673744	674001	+	258	7	5	6	5
Interval_1223	XV	678868	679270	+	403	10	15	11	15
Interval_1224	XV	682293	683869	+	1577	18	21	18	22
Interval_1225	XV	689385	689591	+	207	3	6	3	7
Interval_1226	XV	722696	722912	+	217	3	5	3	5
Interval_1227	XV	742157	742717	+	561	19	17	21	18
Interval_1228	XV	761536	762513	+	978	21	18	21	21
Interval_1229	XV	768019	768243	+	225	4	7	6	7
Interval_1230	XV	769605	770494	+	890	18	24	17	27
Interval_1231	XV	772207	772607	+	401	6	9	7	9
Interval_1232	XV	779484	780954	+	1471	51	47	54	46
Interval_1233	XV	796916	797265	+	350	5	12	6	13
Interval_1234	XV	825343	826350	+	1008	19	24	19	27
Interval_1235	XV	832137	832781	+	645	22	17	26	19
Interval_1236	XV	836648	837243	+	596	20	23	21	29
Interval_1237	XV	842076	842721	+	646	8	18	9	16
Interval_1238	XV	849506	850126	+	621	5	6	6	8
Interval_1239	XV	866609	867231	+	623	28	27	33	32
Interval_1240	XV	877755	878239	+	485	15	24	16	30
Interval_1241	XV	881981	882540	+	560	26	32	26	34
Interval_1242	XV	891707	892016	+	310	6	7	6	9
Interval_1243	XV	901255	901604	+	350	19	14	21	17
Interval_1244	XV	903813	904492	+	680	26	24	25	26
Interval_1245	XV	908521	909130	+	610	16	31	21	29
Interval_1246	XV	911869	912736	+	868	22	38	23	40
Interval_1247	XV	931251	931873	+	623	14	11	14	11
Interval_1248	XV	949439	949682	+	244	2	6	3	7
Interval_1249	XV	965882	966448	+	567	7	5	9	6
Interval_1250	XV	967916	968549	+	634	13	15	14	16
Interval_1251	XV	978383	979565	+	1183	62	84	73	101
Interval_1252	XV	987377	989622	+	2246	91	126	92	145
Interval_1253	XV	1003138	1004302	+	1165	15	14	15	17
Interval_1254	XV	1009623	1010071	+	449	5	6	7	6
Interval_1255	XV	1039448	1039710	+	263	8	7	7	9
Interval_1256	XV	1042902	1043690	+	789	12	25	17	26
Interval_1257	XV	1059115	1059392	+	278	2	2	5	3
Interval_1258	XV	1064337	1064972	+	636	3	13	3	11
Interval_1259	XV	1084219	1084472	+	254	6	4	11	6
Interval_1260	XVI	6516	6925	+	410	4	6	8	10
Interval_1261	XVI	22130	22865	+	736	13	10	16	12
Interval_1262	XVI	24717	24949	+	233	3	10	3	10
Interval_1263	XVI	29900	30605	+	706	9	9	9	8
Interval_1264	XVI	40302	40860	+	559	19	29	21	31
Interval_1265	XVI	55905	56517	+	613	15	15	22	16
Interval_1266	XVI	66821	67814	+	994	14	18	15	20
Interval_1267	XVI	74565	75630	+	1066	45	54	48	60
Interval_1268	XVI	76264	76617	+	354	20	21	22	27
Interval_1269	XVI	88113	88457	+	345	4	9	4	9
Interval_1270	XVI	95205	95496	+	292	8	6	9	7
Interval_1271	XVI	98899	99532	+	634	3	14	3	17
Interval_1272	XVI	105468	105737	+	270	5	7	6	9
Interval_1273	XVI	106791	107031	+	241	8	13	8	13
Interval_1274	XVI	108266	108627	+	362	7	14	8	13
Interval_1275	XVI	114193	114974	+	782	14	18	14	19
Interval_1276	XVI	118078	118374	+	297	7	4	7	4
Interval_1277	XVI	132162	132692	+	531	12	15	13	15
Interval_1278	XVI	135324	135731	+	408	9	5	9	7
Interval_1279	XVI	143076	143303	+	228	4	2	5	2
Interval_1280	XVI	163594	163946	+	353	6	4	8	4
Interval_1281	XVI	172848	173159	+	312	7	7	8	7
Interval_1282	XVI	174445	174875	+	431	2	2	8	2
Interval_1283	XVI	188613	189045	+	433	8	13	9	13
Interval_1284	XVI	202859	203240	+	382	6	4	9	5
Interval_1285	XVI	207460	207791	+	332	4	7	4	9
Interval_1286	XVI	214301	215435	+	1135	60	64	69	72
Interval_1287	XVI	227721	228134	+	414	12	13	12	15
Interval_1288	XVI	246351	246547	+	197	0	4	3	4
Interval_1289	XVI	256960	257456	+	497	6	18	7	19
Interval_1290	XVI	280089	280398	+	310	3	17	3	16
Interval_1291	XVI	281531	282057	+	527	16	29	16	31
Interval_1292	XVI	296815	297570	+	756	15	21	13	23
Interval_1293	XVI	302764	303028	+	265	5	8	5	8
Interval_1294	XVI	308307	308531	+	225	3	7	3	7
Interval_1295	XVI	309718	310140	+	423	6	10	7	10
Interval_1296	XVI	328954	329257	+	304	7	8	7	6
Interval_1297	XVI	338737	340880	+	2144	38	60	38	66
Interval_1298	XVI	370733	371024	+	292	5	8	5	8
Interval_1299	XVI	378382	378898	+	517	15	20	17	20
Interval_1300	XVI	381365	381565	+	201	1	5	2	6
Interval_1301	XVI	404210	404698	+	489	11	17	12	17
Interval_1302	XVI	406113	406652	+	540	18	20	22	23
Interval_1303	XVI	411566	412309	+	744	11	12	12	12
Interval_1304	XVI	425083	426016	+	934	33	43	34	44
Interval_1305	XVI	431510	432292	+	783	34	36	35	41
Interval_1306	XVI	450817	451450	+	634	13	19	14	19
Interval_1307	XVI	453301	453887	+	587	10	21	9	23
Interval_1308	XVI	454874	455236	+	363	9	12	10	14
Interval_1309	XVI	463945	464192	+	248	2	7	4	9
Interval_1310	XVI	481931	482434	+	504	6	15	7	15
Interval_1311	XVI	491646	491929	+	284	7	3	7	3
Interval_1312	XVI	497798	498040	+	243	7	6	10	5
Interval_1313	XVI	502321	503325	+	1005	30	39	30	48
Interval_1314	XVI	517284	517504	+	221	7	1	7	2
Interval_1315	XVI	520104	520708	+	605	11	15	10	16
Interval_1316	XVI	527046	527284	+	239	8	2	8	4
Interval_1317	XVI	565019	565219	+	201	4	3	4	3
Interval_1318	XVI	566867	567092	+	226	6	5	6	5
Interval_1319	XVI	572255	572705	+	451	9	10	11	11
Interval_1320	XVI	581448	582305	+	858	12	16	13	17
Interval_1321	XVI	586024	587480	+	1457	23	29	27	29
Interval_1322	XVI	591257	591586	+	330	5	9	7	10
Interval_1323	XVI	594040	594236	+	197	3	3	3	3
Interval_1324	XVI	627166	627723	+	558	5	12	5	13
Interval_1325	XVI	631408	631722	+	315	1	2	1	2
Interval_1326	XVI	641208	641893	+	686	36	41	38	42
Interval_1327	XVI	645038	645803	+	766	20	44	23	51
Interval_1328	XVI	653650	654129	+	480	6	17	7	18
Interval_1329	XVI	656559	656788	+	230	3	7	3	8
Interval_1330	XVI	664673	665137	+	465	6	4	6	7
Interval_1331	XVI	666028	666228	+	201	4	3	5	3
Interval_1332	XVI	667319	667519	+	201	6	2	6	2
Interval_1333	XVI	673643	673876	+	234	3	5	4	5
Interval_1334	XVI	678455	679436	+	982	28	37	33	41
Interval_1335	XVI	685137	685414	+	278	1	0	2	3
Interval_1336	XVI	689489	689924	+	436	9	15	8	16
Interval_1337	XVI	695125	695591	+	467	11	14	12	15
Interval_1338	XVI	699930	700436	+	507	21	16	25	17
Interval_1339	XVI	701300	702216	+	917	7	10	8	12
Interval_1340	XVI	719315	719521	+	207	5	5	9	5
Interval_1341	XVI	729543	729887	+	345	6	6	6	8
Interval_1342	XVI	731822	732276	+	455	15	9	18	10
Interval_1343	XVI	742224	742424	+	201	1	3	3	3
Interval_1344	XVI	744183	744566	+	384	8	8	8	8
Interval_1345	XVI	747173	747575	+	403	2	4	2	6
Interval_1346	XVI	752062	752340	+	279	2	8	2	9
Interval_1347	XVI	769094	769299	+	206	3	5	4	6
Interval_1348	XVI	770667	771106	+	440	14	14	13	17
Interval_1349	XVI	775431	776076	+	646	13	16	13	19
Interval_1350	XVI	781733	782043	+	311	5	7	6	7
Interval_1351	XVI	785625	785956	+	332	8	6	9	7
Interval_1352	XVI	794181	794976	+	796	15	25	18	29
Interval_1353	XVI	812541	813058	+	518	13	15	16	15
Interval_1354	XVI	821665	822647	+	983	22	30	23	32
Interval_1355	XVI	828829	829554	+	726	23	33	26	36
Interval_1356	XVI	840166	840992	+	827	16	27	17	32
Interval_1357	XVI	855728	857288	+	1561	9	32	22	42
Interval_1358	XVI	860284	860836	+	553	7	17	7	20
Interval_1359	XVI	866466	866742	+	277	3	6	4	7
Interval_1360	XVI	870071	870281	+	211	1	9	1	9
Interval_1361	XVI	874907	876646	+	1740	14	11	14	13
Interval_1362	XVI	882849	883618	+	770	4	14	5	14
Interval_1363	XVI	899673	900773	+	1101	9	19	9	19
Interval_1364	XVI	901509	901858	+	350	8	11	7	12
Interval_1365	XVI	921128	921372	+	245	3	5	3	5
Interval_1366	XVI	927657	928940	+	1284	24	37	28	37
Interval_1367	XVI	942449	942926	+	478	15	13	22	22
