PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T0_PE_REP2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T0_PE_REP2_peak_306	VIII	382846	383179	+	25	NA	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-261	YHR141C	YHR141C	YHR141C			RPL42B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_11	I	180363	181337	+	25	NA	promoter-TSS (tL(CAA)A)	tRNA-promoter-TSS (tL(CAA)A)	-291	tL(CAA)A	tL(CAA)A	tL(CAA)A			SUP56			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_566	XV	663478	663746	+	25	NA	TTS (YOR176W)	protein_coding-TTS (YOR176W)	273	tV(AAC)O	tV(AAC)O	tV(AAC)O			tV(AAC)O			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_582	XV	908694	909056	+	25	NA	promoter-TSS (YOR316C-A)	protein_coding-promoter-TSS (YOR316C-A)	-468	YOR317W	YOR317W	YOR317W			FAA1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_308	VIII	450765	453275	+	25	NA	promoter-TSS (YHR173C)	protein_coding-promoter-TSS (YHR173C)	693	YHR174W	YHR174W	YHR174W			ENO2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_522	XIV	576196	577023	+	25	NA	promoter-TSS (YNL030W)	protein_coding-promoter-TSS (YNL030W)	-118	YNL030W	YNL030W	YNL030W			HHF2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_574	XV	825631	826071	+	25	NA	promoter-TSS (YOR267C)	protein_coding-promoter-TSS (YOR267C)	81	YOR268C	YOR268C	YOR268C			YOR268C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_509	XIV	374779	375183	+	25	NA	promoter-TSS (YNL132W)	protein_coding-promoter-TSS (YNL132W)	112	tF(GAA)N	tF(GAA)N	tF(GAA)N			tF(GAA)N			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_429	XII	796467	797202	+	25	NA	promoter-TSS (YLR333C)	protein_coding-promoter-TSS (YLR333C)	244	YLR334C	YLR334C	YLR334C			YLR334C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_502	XIV	198151	198925	+	25	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-595	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_41	II	415363	415603	+	25	NA	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	-222	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_60	II	770680	771163	+	24	NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-318	YBR284W	YBR284W	YBR284W			YBR284W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_507	XIV	355209	355984	+	24	NA	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-554	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_387	XI	614096	615120	+	24	NA	promoter-TSS (YKR092C)	protein_coding-promoter-TSS (YKR092C)	-723	YKR092C	YKR092C	YKR092C			SRP40			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_163	V	6208	6855	+	24	NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	405	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_83	IV	221955	222201	+	24	NA	promoter-TSS (YDL133C-A)	protein_coding-promoter-TSS (YDL133C-A)	-277	YDL133C-A	YDL133C-A	YDL133C-A			RPL41B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_403	XII	253389	253594	+	24	NA	promoter-TSS (YLR055C)	protein_coding-promoter-TSS (YLR055C)	-370	YLR056W	YLR056W	YLR056W			ERG3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_136	IV	1454725	1455040	+	24	NA	promoter-TSS (YDR502C)	protein_coding-promoter-TSS (YDR502C)	-418	YDR502C	YDR502C	YDR502C			SAM2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_426	XII	737644	737999	+	24	NA	promoter-TSS (YLR304C)	protein_coding-promoter-TSS (YLR304C)	-273	YLR304C	YLR304C	YLR304C			ACO1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_594	XVI	40416	40860	+	24	NA	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-405	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_146	IX	138568	139474	+	24	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-731	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_97	IV	465112	465483	+	24	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	86	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_521	XIV	569561	570019	+	24	NA	promoter-TSS (YNL034W)	protein_coding-promoter-TSS (YNL034W)	-99	YNL035C	YNL035C	YNL035C			YNL035C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_266	VII	809808	810018	+	24	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-314	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_328	X	337369	337871	+	23	NA	promoter-TSS (YJL052W)	protein_coding-promoter-TSS (YJL052W)	383	YJL052C-A	YJL052C-A	YJL052C-A			YJL052C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_55	II	624848	625658	+	23	NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-519	YBR202W	YBR202W	YBR202W			MCM7			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_59	II	697619	698008	+	23	NA	promoter-TSS (YBR238C)	protein_coding-promoter-TSS (YBR238C)	-511	YBR238C	YBR238C	YBR238C			YBR238C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_47	II	483527	483832	+	23	NA	promoter-TSS (YBR121C)	protein_coding-promoter-TSS (YBR121C)	-312	YBR121C	YBR121C	YBR121C			GRS1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_355	XI	108985	109219	+	23	NA	promoter-TSS (YKL180W)	protein_coding-promoter-TSS (YKL180W)	-167	YKL180W	YKL180W	YKL180W			RPL17A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_44	II	466209	466599	+	23	NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-634	YBR112C	YBR112C	YBR112C			CYC8			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_483	XIII	675054	675369	+	23	NA	promoter-TSS (YMR205C)	protein_coding-promoter-TSS (YMR205C)	-445	YMR205C	YMR205C	YMR205C			PFK2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_431	XII	809017	809460	+	23	NA	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-759	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_184	V	284498	284987	+	23	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-520	YER064C	YER064C	YER064C			VHR2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_275	VII	958486	959746	+	23	NA	promoter-TSS (YGR233C)	protein_coding-promoter-TSS (YGR233C)	-788	YGR234W	YGR234W	YGR234W			YHB1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_472	XIII	433772	434623	+	23	NA	promoter-TSS (YMR083W)	protein_coding-promoter-TSS (YMR083W)	-591	YMR083W	YMR083W	YMR083W			ADH3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_6	I	70969	71503	+	23	NA	promoter-TSS (YAL038W)	protein_coding-promoter-TSS (YAL038W)	-550	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_121	IV	1080404	1080900	+	23	NA	promoter-TSS (YDR309C)	protein_coding-promoter-TSS (YDR309C)	-453	YDR309C	YDR309C	YDR309C			GIC2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_183	V	280947	281425	+	23	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-504	YER062C	YER062C	YER062C			GPP2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_310	VIII	505520	505920	+	23	NA	promoter-TSS (YHR203C)	protein_coding-promoter-TSS (YHR203C)	-190	YHR203C	YHR203C	YHR203C			RPS4B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_330	X	374110	374486	+	23	NA	promoter-TSS (YJL039C)	protein_coding-promoter-TSS (YJL039C)	197	tD(GUC)J3	tD(GUC)J3	tD(GUC)J3			tD(GUC)J3			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_29	II	193434	193867	+	23	NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-472	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_255	VII	592361	592919	+	23	NA	promoter-TSS (YGR050C)	protein_coding-promoter-TSS (YGR050C)	-198	YGR050C	YGR050C	YGR050C			YGR050C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_190	V	349561	349824	+	23	NA	promoter-TSS (YER094C)	protein_coding-promoter-TSS (YER094C)	-288	YER095W	YER095W	YER095W			RAD51			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_360	XI	203089	203303	+	23	NA	promoter-TSS (YKL127W)	protein_coding-promoter-TSS (YKL127W)	197	tK(CUU)K	tK(CUU)K	tK(CUU)K			tK(CUU)K			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_92	IV	357151	357809	+	23	NA	promoter-TSS (YDL055C)	protein_coding-promoter-TSS (YDL055C)	-721	YDL055C	YDL055C	YDL055C			PSA1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_230	VII	165255	166495	+	23	NA	promoter-TSS (YGL179C)	protein_coding-promoter-TSS (YGL179C)	-784	YGL179C	YGL179C	YGL179C			TOS3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_416	XII	521966	522639	+	22	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	196	YLR184W	YLR184W	YLR184W			YLR184W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_444	XII	1012114	1012554	+	22	NA	promoter-TSS (YLR437C)	protein_coding-promoter-TSS (YLR437C)	-167	YLR438W	YLR438W	YLR438W			CAR2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_320	X	157397	158021	+	22	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-168	YJL135W	YJL135W	YJL135W			YJL135W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_161	IX	427331	427686	+	22	NA	Intergenic	Intergenic	-2995	YIR038C	YIR038C	YIR038C			GTT1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_363	XI	230319	231726	+	22	NA	Intergenic	Intergenic	-1142	YKL110C	YKL110C	YKL110C			KTI12			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_281	VII	1050356	1050618	+	22	NA	promoter-TSS (YGR279C)	protein_coding-promoter-TSS (YGR279C)	-529	YGR279C	YGR279C	YGR279C			SCW4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_46	II	477174	477593	+	22	NA	promoter-TSS (YBR117C)	protein_coding-promoter-TSS (YBR117C)	-288	YBR118W	YBR118W	YBR118W			TEF2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_584	XV	931271	931873	+	22	NA	promoter-TSS (YOR327C)	protein_coding-promoter-TSS (YOR327C)	-231	YOR328W	YOR328W	YOR328W			PDR10			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_304	VIII	368061	368473	+	22	NA	promoter-TSS (YHR131C)	protein_coding-promoter-TSS (YHR131C)	-375	YHR131C	YHR131C	YHR131C			YHR131C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_372	XI	339003	339619	+	22	NA	promoter-TSS (YKL053W)	protein_coding-promoter-TSS (YKL053W)	131	YKL053C-A	YKL053C-A	YKL053C-A			MDM35			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_550	XV	315900	316597	+	22	NA	promoter-TSS (YOL004W)	protein_coding-promoter-TSS (YOL004W)	-73	YOL005C	YOL005C	YOL005C			RPB11			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_28	II	164577	165370	+	22	NA	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-201	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_19	II	36412	36779	+	22	NA	promoter-TSS (YBL099W)	protein_coding-promoter-TSS (YBL099W)	197	tF(GAA)B	tF(GAA)B	tF(GAA)B			tF(GAA)B			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_549	XV	304442	305041	+	22	NA	promoter-TSS (YOL011W)	protein_coding-promoter-TSS (YOL011W)	-608	YOL011W	YOL011W	YOL011W			PLB3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_366	XI	260454	260822	+	22	NA	promoter-TSS (YKL096W)	protein_coding-promoter-TSS (YKL096W)	-494	YKL096W	YKL096W	YKL096W			CWP1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_175	V	177119	177674	+	22	NA	promoter-TSS (YER012W)	protein_coding-promoter-TSS (YER012W)	297	tE(UUC)E1	tE(UUC)E1	tE(UUC)E1			tE(UUC)E1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_504	XIV	301266	302451	+	22	NA	promoter-TSS (YNL178W)	protein_coding-promoter-TSS (YNL178W)	-755	YNL179C	YNL179C	YNL179C			YNL179C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_567	XV	671048	671283	+	21	NA	promoter-TSS (YOR178C)	protein_coding-promoter-TSS (YOR178C)	-924	YOR178C	YOR178C	YOR178C			GAC1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_181	V	268570	268963	+	21	NA	promoter-TSS (YER056C)	protein_coding-promoter-TSS (YER056C)	-653	YER056C	YER056C	YER056C			FCY2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_323	X	220332	220688	+	21	NA	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-494	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_563	XV	618636	619591	+	21	NA	promoter-TSS (YOR152C)	protein_coding-promoter-TSS (YOR152C)	-727	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_110	IV	811762	812031	+	21	NA	promoter-TSS (YDR173C)	protein_coding-promoter-TSS (YDR173C)	-214	YDR174W	YDR174W	YDR174W			HMO1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_20	II	45098	45552	+	21	NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-407	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_418	XII	553905	554363	+	21	NA	promoter-TSS (YLR205C)	protein_coding-promoter-TSS (YLR205C)	-444	YLR206W	YLR206W	YLR206W			ENT2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_90	IV	330522	330938	+	21	NA	promoter-TSS (YDL070W)	protein_coding-promoter-TSS (YDL070W)	-283	YDL072C	YDL072C	YDL072C			YET3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_130	IV	1300785	1301507	+	21	NA	promoter-TSS (YDR418W)	protein_coding-promoter-TSS (YDR418W)	-470	YDR418W	YDR418W	YDR418W			RPL12B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_160	IX	394902	395184	+	21	NA	promoter-TSS (PWR1)	ncRNA-promoter-TSS (PWR1)	126	YIR020W-A	YIR020W-A	YIR020W-A			YIR020W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_261	VII	739150	739491	+	21	NA	promoter-TSS (YGR124W)	protein_coding-promoter-TSS (YGR124W)	198	tI(AAU)G	tI(AAU)G	tI(AAU)G			tI(AAU)G			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_53	II	605898	606173	+	21	NA	promoter-TSS (YBR190W)	protein_coding-promoter-TSS (YBR190W)	69	YBR190W	YBR190W	YBR190W			YBR190W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_290	VIII	55463	56151	+	21	NA	promoter-TSS (YHL024W)	protein_coding-promoter-TSS (YHL024W)	-842	YHL024W	YHL024W	YHL024W			RIM4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_258	VII	706882	707199	+	21	NA	promoter-TSS (YGR109C)	protein_coding-promoter-TSS (YGR109C)	139	tC(GCA)G	tC(GCA)G	tC(GCA)G			tC(GCA)G			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_210	VI	54914	55266	+	21	NA	promoter-TSS (YFL039C)	protein_coding-promoter-TSS (YFL039C)	-394	YFL039C	YFL039C	YFL039C			ACT1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_571	XV	761491	762426	+	21	NA	promoter-TSS (YOR224C)	protein_coding-promoter-TSS (YOR224C)	126	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_324	X	224104	224429	+	21	NA	promoter-TSS (YJL105W)	protein_coding-promoter-TSS (YJL105W)	-789	YJL105W	YJL105W	YJL105W			SET4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_72	III	236534	236998	+	21	NA	promoter-TSS (YCR067C)	protein_coding-promoter-TSS (YCR067C)	-444	YCR067C	YCR067C	YCR067C			SED4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_333	X	424216	425000	+	21	NA	promoter-TSS (YJL005W)	protein_coding-promoter-TSS (YJL005W)	-93	tL(UAA)J	tL(UAA)J	tL(UAA)J			SUP51			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_302	VIII	267114	267428	+	21	NA	promoter-TSS (YHR080C)	protein_coding-promoter-TSS (YHR080C)	-267	YHR081W	YHR081W	YHR081W			LRP1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_148	IX	177548	177867	+	20	NA	promoter-TSS (YIL099W)	protein_coding-promoter-TSS (YIL099W)	-26	YIL100C-A	YIL100C-A	YIL100C-A			YIL100C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_318	X	120015	120374	+	20	NA	promoter-TSS (YJL159W)	protein_coding-promoter-TSS (YJL159W)	-255	YJL159W	YJL159W	YJL159W			HSP150			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_556	XV	494228	494909	+	20	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-559	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_267	VII	823478	823823	+	20	NA	promoter-TSS (YGR161C-C)	protein_coding-promoter-TSS (YGR161C-C)	168	tV(AAC)G2	tV(AAC)G2	tV(AAC)G2			tV(AAC)G2			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_612	XVI	502483	503333	+	20	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	122	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_70	III	178259	179344	+	20	NA	promoter-TSS (YCR031C)	protein_coding-promoter-TSS (YCR031C)	-3	snR189	snR189	snR189			snR189			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_497	XIV	88942	90087	+	20	NA	promoter-TSS (YNL288W)	protein_coding-promoter-TSS (YNL288W)	304	snR40	snR40	snR40			snR40			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_484	XIII	758917	759454	+	20	NA	promoter-TSS (YMR244C-A)	protein_coding-promoter-TSS (YMR244C-A)	-354	YMR244C-A	YMR244C-A	YMR244C-A			COA6			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_526	XIV	662022	662507	+	20	NA	promoter-TSS (YNR016C)	protein_coding-promoter-TSS (YNR016C)	-649	YNR017W	YNR017W	YNR017W			TIM23			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_325	X	227823	228032	+	20	NA	TTS (YJL104W)	protein_coding-TTS (YJL104W)	552	snR37	snR37	snR37			snR37			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_57	II	668279	668806	+	20	NA	promoter-TSS (YBR222C)	protein_coding-promoter-TSS (YBR222C)	-179	YBR223W-A	YBR223W-A	YBR223W-A			YBR223W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_424	XII	710543	710826	+	20	NA	promoter-TSS (YLR286C)	protein_coding-promoter-TSS (YLR286C)	-548	YLR286C	YLR286C	YLR286C			CTS1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_251	VII	547371	547604	+	20	NA	promoter-TSS (YGR031C-A)	protein_coding-promoter-TSS (YGR031C-A)	-187	YGR031C-A	YGR031C-A	YGR031C-A			NAG1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_436	XII	837569	839716	+	20	NA	exon (YLR355C, exon 1 of 1)	protein_coding-exon (YLR355C, exon 1 of 1)	611	YLR355C	YLR355C	YLR355C			ILV5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_486	XIII	797950	798324	+	20	NA	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-212	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_165	V	42116	42775	+	20	NA	promoter-TSS (YEL058W)	protein_coding-promoter-TSS (YEL058W)	179	YEL059C-A	YEL059C-A	YEL059C-A			SOM1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_555	XV	487081	487625	+	20	NA	promoter-TSS (YOR086C)	protein_coding-promoter-TSS (YOR086C)	-86	tN(GUU)O2	tN(GUU)O2	tN(GUU)O2			tN(GUU)O2			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_295	VIII	126012	126291	+	20	NA	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-370	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_24	II	116934	117247	+	20	NA	promoter-TSS (YBL054W)	protein_coding-promoter-TSS (YBL054W)	-261	YBL055C	YBL055C	YBL055C			YBL055C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_78	IV	42384	42594	+	20	NA	promoter-TSS (YDL230W)	protein_coding-promoter-TSS (YDL230W)	-211	YDL230W	YDL230W	YDL230W			PTP1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_525	XIV	631345	632736	+	20	NA	promoter-TSS (YNR001C)	protein_coding-promoter-TSS (YNR001C)	-123	tP(AGG)N	tP(AGG)N	tP(AGG)N			SUF10			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_498	XIV	104210	104942	+	20	NA	promoter-TSS (YNL284C)	protein_coding-promoter-TSS (YNL284C)	-229	tT(AGU)N1	tT(AGU)N1	tT(AGU)N1			tT(AGU)N1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_480	XIII	625674	626145	+	20	NA	promoter-TSS (YMR182C)	protein_coding-promoter-TSS (YMR182C)	98	YMR182W-A	YMR182W-A	YMR182W-A			YMR182W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_87	IV	302849	303054	+	20	NA	promoter-TSS (YDL085C-A)	protein_coding-promoter-TSS (YDL085C-A)	-260	YDL085W	YDL085W	YDL085W			NDE2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_89	IV	321745	322092	+	20	NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-308	YDL075W	YDL075W	YDL075W			RPL31A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_411	XII	450159	450644	+	20	NA	Intergenic	Intergenic	-1680	tQ(UUG)L	tQ(UUG)L	tQ(UUG)L			tQ(UUG)L			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_554	XV	462451	462844	+	20	NA	TTS (YOR072W)	protein_coding-TTS (YOR072W)	856	YOR072W-A	YOR072W-A	YOR072W-A			YOR072W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_503	XIV	281647	282046	+	20	NA	promoter-TSS (YNL190W)	protein_coding-promoter-TSS (YNL190W)	-549	YNL190W	YNL190W	YNL190W			YNL190W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_131	IV	1355663	1355880	+	20	NA	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-218	YDR447C	YDR447C	YDR447C			RPS17B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_624	XVI	775440	775816	+	20	NA	promoter-TSS (YPR120C)	protein_coding-promoter-TSS (YPR120C)	208	tC(GCA)P2	tC(GCA)P2	tC(GCA)P2			tC(GCA)P2			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_167	V	61069	61493	+	20	NA	promoter-TSS (YEL050C)	protein_coding-promoter-TSS (YEL050C)	-71	snR67	snR67	snR67			snR67			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_193	V	386749	387084	+	20	NA	promoter-TSS (YER112W)	protein_coding-promoter-TSS (YER112W)	-316	YER112W	YER112W	YER112W			LSM4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_177	V	211724	212339	+	20	NA	promoter-TSS (YER028C)	protein_coding-promoter-TSS (YER028C)	-155	YER028C	YER028C	YER028C			MIG3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_153	IX	267964	268947	+	20	NA	promoter-TSS (YIL046W)	protein_coding-promoter-TSS (YIL046W)	146	YIL046W-A	YIL046W-A	YIL046W-A			YIL046W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_43	II	452196	452514	+	19	NA	promoter-TSS (YBR105C)	protein_coding-promoter-TSS (YBR105C)	-303	YBR106W	YBR106W	YBR106W			PHO88			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_109	IV	769174	769810	+	19	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-33	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_303	VIII	292821	293921	+	19	NA	promoter-TSS (YHR094C)	protein_coding-promoter-TSS (YHR094C)	428	YHR095W	YHR095W	YHR095W			YHR095W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_347	XI	25958	26231	+	19	NA	TTS (YKL215C)	protein_coding-TTS (YKL215C)	879	YKL216W	YKL216W	YKL216W			URA1			protein_coding
