# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_846	VII	1000034	1000787	+	754	42	35	87	44	38	98
Interval_847	VII	1007352	1007552	+	201	2	4	13	2	4	13
Interval_848	VII	1011222	1012386	+	1165	10	7	34	11	8	36
Interval_849	VII	1022023	1022625	+	603	10	4	18	11	4	22
Interval_850	VII	1025681	1027258	+	1578	20	29	54	20	32	57
Interval_851	VII	1050176	1050638	+	463	8	15	17	10	15	21
Interval_852	VII	1051896	1052655	+	760	12	12	27	14	12	31
Interval_853	VII	1061611	1062082	+	472	3	8	11	5	9	11
Interval_854	VII	1064816	1065349	+	534	7	12	15	7	12	15
Interval_855	VII	1069356	1070137	+	782	8	9	18	8	9	17
Interval_856	VII	1072616	1073075	+	460	9	1	19	10	1	19
Interval_857	VII	1076059	1076401	+	343	2	3	16	2	3	17
Interval_858	VII	1083744	1084551	+	808	47	57	58	60	66	64
Interval_859	VIII	0	315	+	316	17	21	13	33	40	20
Interval_860	VIII	4884	5498	+	615	19	13	32	24	17	35
Interval_861	VIII	10726	11131	+	406	4	5	3	6	5	3
Interval_862	VIII	12748	12937	+	190	0	1	4	0	1	9
Interval_863	VIII	16896	18568	+	1673	21	15	42	21	15	40
Interval_864	VIII	25881	26431	+	551	0	2	13	1	2	15
Interval_865	VIII	34827	35082	+	256	5	7	1	4	6	2
Interval_866	VIII	47999	48678	+	680	34	26	62	37	26	73
Interval_867	VIII	50602	50891	+	290	5	13	26	6	15	31
Interval_868	VIII	54367	56379	+	2013	29	53	96	32	57	103
Interval_869	VIII	62474	62786	+	313	6	5	3	6	5	4
Interval_870	VIII	65745	66468	+	724	4	6	27	4	6	31
Interval_871	VIII	74190	75308	+	1119	3	9	28	3	10	30
Interval_872	VIII	85229	85445	+	217	2	4	12	3	4	14
Interval_873	VIII	98135	99151	+	1017	26	37	61	29	38	66
Interval_874	VIII	102141	102569	+	429	6	5	11	7	5	12
Interval_875	VIII	103840	104181	+	342	5	9	12	7	9	15
Interval_876	VIII	113203	113384	+	182	0	3	6	0	2	7
Interval_877	VIII	115063	116252	+	1190	12	15	29	14	18	32
Interval_878	VIII	121943	122805	+	863	53	32	79	56	36	88
Interval_879	VIII	123637	123861	+	225	2	7	19	2	6	20
Interval_880	VIII	126011	126405	+	395	17	23	44	19	25	50
Interval_881	VIII	134107	134346	+	240	1	4	3	1	3	5
Interval_882	VIII	141570	141834	+	265	0	1	9	0	2	9
Interval_883	VIII	143534	143920	+	387	7	9	20	7	13	21
Interval_884	VIII	146174	146411	+	238	7	13	22	8	14	24
Interval_885	VIII	148763	149187	+	425	21	15	35	24	16	38
Interval_886	VIII	150630	151611	+	982	12	11	58	14	12	67
Interval_887	VIII	160362	161016	+	655	4	2	13	4	4	15
Interval_888	VIII	174590	175450	+	861	7	11	70	8	12	81
Interval_889	VIII	177172	177372	+	201	0	0	10	0	0	15
Interval_890	VIII	181453	181953	+	501	0	3	17	0	3	19
Interval_891	VIII	187803	188074	+	272	0	1	6	0	0	10
Interval_892	VIII	189405	189605	+	201	0	4	3	0	5	3
Interval_893	VIII	189933	190489	+	557	11	15	35	11	15	41
Interval_894	VIII	201268	201697	+	430	2	2	18	2	2	20
Interval_895	VIII	204330	204680	+	351	2	2	16	2	4	18
Interval_896	VIII	205945	206362	+	418	1	1	20	1	2	22
Interval_897	VIII	207318	207518	+	201	2	3	11	3	3	13
Interval_898	VIII	209020	209606	+	587	6	5	21	6	5	23
Interval_899	VIII	217779	218031	+	253	3	3	12	3	4	14
Interval_900	VIII	222662	222862	+	201	4	6	5	5	7	5
Interval_901	VIII	227158	227739	+	582	8	4	13	10	6	16
Interval_902	VIII	236053	236682	+	630	28	29	92	31	34	98
Interval_903	VIII	245890	246116	+	227	2	1	9	3	2	12
Interval_904	VIII	255966	256209	+	244	2	5	6	2	6	6
Interval_905	VIII	266873	267995	+	1123	11	9	47	11	11	56
Interval_906	VIII	272320	272953	+	634	7	14	22	7	17	27
Interval_907	VIII	280163	281462	+	1300	11	16	127	12	16	137
Interval_908	VIII	289312	289512	+	201	1	5	5	1	6	7
Interval_909	VIII	292608	294093	+	1486	33	33	103	34	32	107
Interval_910	VIII	296771	297259	+	489	12	19	42	13	22	43
Interval_911	VIII	298746	299181	+	436	1	6	40	1	6	40
Interval_912	VIII	316052	316487	+	436	7	7	22	7	7	25
Interval_913	VIII	323179	323993	+	815	4	1	21	4	0	23
Interval_914	VIII	332164	333318	+	1155	3	4	37	3	5	40
Interval_915	VIII	340975	342418	+	1444	6	17	48	6	18	51
Interval_916	VIII	354595	355112	+	518	5	7	13	5	7	14
Interval_917	VIII	368057	368473	+	417	6	3	10	7	4	10
Interval_918	VIII	374460	375591	+	1132	16	25	60	17	31	63
Interval_919	VIII	379575	379899	+	325	2	2	22	3	2	24
Interval_920	VIII	382746	383254	+	509	22	30	42	24	32	49
Interval_921	VIII	388628	389034	+	407	5	12	14	6	13	15
Interval_922	VIII	389908	390266	+	359	1	1	11	1	4	13
Interval_923	VIII	393287	393634	+	348	2	1	15	2	1	17
Interval_924	VIII	400830	401324	+	495	3	10	17	4	10	21
Interval_925	VIII	402789	402990	+	202	1	0	11	1	0	11
Interval_926	VIII	410918	411631	+	714	2	2	15	3	2	16
Interval_927	VIII	417382	417600	+	219	3	0	8	3	0	8
Interval_928	VIII	422397	423875	+	1479	15	20	54	15	21	60
Interval_929	VIII	424133	424526	+	394	4	2	3	5	3	3
Interval_930	VIII	436911	437389	+	479	3	4	19	2	5	22
Interval_931	VIII	442274	442475	+	202	0	1	6	0	0	7
Interval_932	VIII	450495	453300	+	2806	86	64	91	94	71	94
Interval_933	VIII	455626	455944	+	319	8	8	30	7	10	36
Interval_934	VIII	461298	462423	+	1126	9	7	39	10	8	41
Interval_935	VIII	466941	467206	+	266	5	8	3	7	8	3
Interval_936	VIII	470489	470846	+	358	7	3	28	8	3	31
Interval_937	VIII	484038	484680	+	643	3	4	15	4	5	17
Interval_938	VIII	488294	488894	+	601	1	8	21	3	8	25
Interval_939	VIII	490113	490497	+	385	4	1	11	4	2	12
Interval_940	VIII	497383	497673	+	291	0	3	4	0	6	7
Interval_941	VIII	498359	499016	+	658	5	14	27	6	14	27
Interval_942	VIII	505515	506116	+	602	19	24	39	21	26	43
Interval_943	VIII	512080	512447	+	368	5	9	34	6	9	36
Interval_944	VIII	517369	517603	+	235	4	2	7	2	3	8
Interval_945	VIII	521591	522119	+	529	3	4	17	6	4	17
Interval_946	VIII	531509	531760	+	252	2	9	7	2	9	10
Interval_947	VIII	540742	541138	+	397	5	7	22	8	7	28
Interval_948	VIII	548702	549412	+	711	6	3	2	17	9	6
Interval_949	VIII	556196	557048	+	853	39	39	54	47	40	56
Interval_950	X	26399	26599	+	201	1	3	11	1	2	12
Interval_951	X	30765	31753	+	989	6	9	21	7	9	24
Interval_952	X	36176	37773	+	1598	9	13	87	11	13	90
Interval_953	X	59070	59270	+	201	2	4	5	2	4	6
Interval_954	X	60191	60767	+	577	4	12	28	5	13	29
Interval_955	X	68764	69204	+	441	4	20	21	5	23	26
Interval_956	X	73518	74038	+	521	5	17	17	6	18	19
Interval_957	X	74268	75887	+	1620	35	25	57	35	25	63
Interval_958	X	79439	79931	+	493	5	10	15	5	10	20
Interval_959	X	82391	83966	+	1576	15	23	33	15	24	34
Interval_960	X	89970	90716	+	747	25	35	58	25	39	63
Interval_961	X	101070	101375	+	306	1	3	8	2	3	8
Interval_962	X	104405	105106	+	702	1	9	15	2	11	15
Interval_963	X	106142	106438	+	297	5	6	13	5	7	14
Interval_964	X	111299	111883	+	585	2	3	21	3	3	24
Interval_965	X	115622	116585	+	964	17	31	40	19	35	46
Interval_966	X	119785	120374	+	590	23	19	30	26	20	35
Interval_967	X	122970	123622	+	653	18	15	49	19	15	56
Interval_968	X	135606	137307	+	1702	22	26	58	21	28	55
Interval_969	X	139626	140255	+	630	6	10	7	7	11	6
Interval_970	X	146141	147418	+	1278	6	9	36	7	9	35
Interval_971	X	149953	151481	+	1529	9	18	31	10	19	32
Interval_972	X	157317	158056	+	740	28	18	47	29	18	48
Interval_973	X	159636	160408	+	773	24	42	67	23	43	67
Interval_974	X	173155	173546	+	392	9	7	27	10	10	30
Interval_975	X	181346	181839	+	494	4	2	12	5	2	14
Interval_976	X	184152	184353	+	202	0	0	6	0	0	10
Interval_977	X	189471	189694	+	224	3	5	12	4	5	14
Interval_978	X	191504	192330	+	827	6	4	32	7	4	33
Interval_979	X	195300	196148	+	849	31	21	44	33	21	47
Interval_980	X	204723	205211	+	489	3	11	8	4	13	7
Interval_981	X	220221	220803	+	583	21	20	70	22	23	76
Interval_982	X	223866	224431	+	566	17	12	29	17	13	34
Interval_983	X	227814	228663	+	850	14	10	19	19	10	20
Interval_984	X	233842	234044	+	203	2	2	9	2	2	10
Interval_985	X	236261	237173	+	913	11	11	42	11	11	50
Interval_986	X	246251	246612	+	362	1	0	11	1	0	15
Interval_987	X	256870	257316	+	447	5	7	18	6	7	22
Interval_988	X	262678	262852	+	175	0	3	5	0	4	5
Interval_989	X	265223	265767	+	545	1	4	14	2	5	16
Interval_990	X	268437	268846	+	410	5	6	36	6	7	34
Interval_991	X	278258	278982	+	725	1	8	11	0	9	13
Interval_992	X	291130	291475	+	346	14	7	24	11	7	35
Interval_993	X	294274	295071	+	798	39	44	88	37	46	101
Interval_994	X	313839	314781	+	943	4	6	22	4	7	27
Interval_995	X	316145	316868	+	724	7	9	21	8	9	22
Interval_996	X	332899	333188	+	290	3	1	10	3	1	10
Interval_997	X	337271	338116	+	846	14	15	43	16	15	50
Interval_998	X	348741	349455	+	715	8	7	25	7	7	27
Interval_999	X	354143	354489	+	347	4	9	17	5	10	18
Interval_1000	X	355386	355919	+	534	6	8	28	9	12	33
Interval_1001	X	360511	361608	+	1098	12	19	65	13	19	74
Interval_1002	X	373994	374599	+	606	12	12	18	14	13	23
Interval_1003	X	378389	378809	+	421	8	10	19	8	12	21
Interval_1004	X	380582	381316	+	735	6	6	22	6	6	24
Interval_1005	X	383586	383786	+	201	1	4	8	2	4	12
Interval_1006	X	391023	392259	+	1237	38	35	98	41	42	104
Interval_1007	X	396697	397139	+	443	7	4	4	7	5	6
Interval_1008	X	398101	398511	+	411	1	1	6	1	0	9
Interval_1009	X	402526	402789	+	264	4	4	14	4	4	17
Interval_1010	X	404710	405292	+	583	2	7	31	2	9	35
Interval_1011	X	407188	407579	+	392	0	4	14	0	4	16
Interval_1012	X	413516	413716	+	201	6	4	8	6	5	9
Interval_1013	X	414841	415175	+	335	4	4	12	5	6	15
Interval_1014	X	415881	416114	+	234	5	7	7	7	8	8
Interval_1015	X	424176	425000	+	825	16	18	31	19	20	34
Interval_1016	X	432127	432513	+	387	3	3	12	4	3	15
Interval_1017	X	436016	436202	+	187	0	0	7	0	0	7
Interval_1018	X	438458	438966	+	509	1	5	14	2	6	18
Interval_1019	X	454792	456013	+	1222	33	32	56	32	38	58
Interval_1020	X	462157	462615	+	459	6	5	15	6	5	20
Interval_1021	X	465743	466798	+	1056	9	12	32	11	14	32
Interval_1022	X	468175	468590	+	416	3	4	19	3	3	23
Interval_1023	X	503616	503911	+	296	1	2	9	1	3	11
Interval_1024	X	517636	518048	+	413	7	8	16	7	10	20
Interval_1025	X	521693	522073	+	381	9	13	29	12	13	32
Interval_1026	X	524017	524661	+	645	4	13	7	4	15	8
Interval_1027	X	525732	526979	+	1248	17	16	34	16	12	37
Interval_1028	X	528497	529030	+	534	4	2	13	5	2	20
Interval_1029	X	531546	531820	+	275	5	4	4	6	4	7
Interval_1030	X	531944	532144	+	201	1	2	8	2	2	12
Interval_1031	X	535617	535834	+	218	1	0	7	1	0	9
Interval_1032	X	543967	544211	+	245	0	6	9	0	6	10
Interval_1033	X	545098	545753	+	656	10	18	42	12	22	44
Interval_1034	X	548338	548583	+	246	0	8	9	1	8	13
Interval_1035	X	555035	555817	+	783	5	9	14	5	8	14
Interval_1036	X	567338	567572	+	235	0	0	8	0	0	10
Interval_1037	X	570944	571153	+	210	0	5	3	1	4	6
Interval_1038	X	573079	573294	+	216	0	6	9	0	6	11
Interval_1039	X	578133	579181	+	1049	10	7	50	9	8	53
Interval_1040	X	585365	585893	+	529	4	9	17	5	9	17
Interval_1041	X	587433	587660	+	228	1	2	11	1	4	14
Interval_1042	X	594694	595153	+	460	3	1	9	3	1	11
Interval_1043	X	598062	598672	+	611	6	12	20	6	14	22
Interval_1044	X	603895	604383	+	489	5	1	14	5	1	16
Interval_1045	X	606451	606929	+	479	3	5	19	3	6	20
Interval_1046	X	607965	608318	+	354	10	7	14	10	10	15
Interval_1047	X	609000	609354	+	355	6	11	32	6	12	36
Interval_1048	X	615150	615737	+	588	5	11	10	5	14	14
Interval_1049	X	617758	618134	+	377	5	12	12	6	18	20
Interval_1050	X	622081	623715	+	1635	21	35	62	21	39	75
Interval_1051	X	628802	629064	+	263	1	5	8	1	6	11
Interval_1052	X	633155	633474	+	320	5	9	15	8	11	17
Interval_1053	X	638596	639965	+	1370	28	45	98	25	45	96
Interval_1054	X	640375	640652	+	278	3	13	7	2	14	7
Interval_1055	X	646525	647391	+	867	23	35	57	27	34	60
Interval_1056	X	651296	651809	+	514	15	22	40	17	25	46
Interval_1057	X	662831	663827	+	997	26	49	101	31	54	109
Interval_1058	X	672756	673362	+	607	1	4	12	2	5	14
Interval_1059	X	683474	684670	+	1197	6	21	24	7	20	26
Interval_1060	X	690655	690984	+	330	8	2	15	10	2	16
Interval_1061	X	703136	704077	+	942	62	65	83	68	69	95
Interval_1062	X	705214	705603	+	390	7	14	28	7	16	34
Interval_1063	X	715579	716238	+	660	7	9	26	8	10	28
Interval_1064	X	716948	718259	+	1312	4	12	27	4	12	28
Interval_1065	X	745026	745739	+	714	27	23	18	38	42	27
Interval_1066	XI	0	741	+	742	53	52	50	55	64	53
Interval_1067	XI	21441	21894	+	454	3	4	27	4	5	29
Interval_1068	XI	24554	25426	+	873	9	23	26	11	22	28
Interval_1069	XI	25848	26231	+	384	13	2	2	13	2	2
Interval_1070	XI	38115	39426	+	1312	14	19	48	14	20	51
Interval_1071	XI	46219	46909	+	691	5	8	15	5	9	18
Interval_1072	XI	47995	48388	+	394	1	7	12	2	10	16
Interval_1073	XI	55815	56015	+	201	1	1	7	1	2	9
Interval_1074	XI	67764	69771	+	2008	54	54	144	58	60	158
Interval_1075	XI	73934	74789	+	856	7	10	11	8	10	12
Interval_1076	XI	75579	75843	+	265	9	2	12	10	2	14
Interval_1077	XI	80451	80972	+	522	8	12	22	10	14	23
Interval_1078	XI	82664	82964	+	301	4	7	10	6	8	11
Interval_1079	XI	91203	92164	+	962	3	4	25	3	6	29
Interval_1080	XI	93430	93959	+	530	13	18	42	14	18	42
Interval_1081	XI	99304	100127	+	824	43	56	92	46	59	104
Interval_1082	XI	106647	106980	+	334	6	2	5	7	4	5
Interval_1083	XI	108793	109249	+	457	9	8	25	10	8	29
Interval_1084	XI	114996	115188	+	193	2	2	9	2	3	10
Interval_1085	XI	118407	118700	+	294	5	3	11	4	3	11
Interval_1086	XI	125387	125672	+	286	0	2	6	1	2	9
Interval_1087	XI	127047	127400	+	354	3	2	24	3	4	29
Interval_1088	XI	130327	130603	+	277	0	3	13	0	4	14
Interval_1089	XI	134126	134353	+	228	3	5	11	5	7	13
Interval_1090	XI	140865	142167	+	1303	16	8	29	16	9	33
Interval_1091	XI	142963	143597	+	635	8	8	34	9	9	36
Interval_1092	XI	146851	147330	+	480	8	10	25	11	9	27
Interval_1093	XI	150839	151058	+	220	2	2	5	2	3	5
Interval_1094	XI	154565	154815	+	251	3	3	9	2	3	11
Interval_1095	XI	158282	158552	+	271	5	11	11	4	13	13
Interval_1096	XI	163836	165165	+	1330	33	28	47	34	31	50
Interval_1097	XI	165917	166422	+	506	10	6	43	11	6	52
Interval_1098	XI	171379	172323	+	945	9	14	24	7	13	28
Interval_1099	XI	173615	174347	+	733	6	3	21	6	3	22
Interval_1100	XI	178137	178419	+	283	3	2	16	3	2	20
Interval_1101	XI	179317	179763	+	447	3	3	19	3	3	21
Interval_1102	XI	201841	202041	+	201	2	0	8	3	0	9
Interval_1103	XI	202979	203494	+	516	11	15	30	11	15	33
Interval_1104	XI	205331	205535	+	205	2	4	11	3	4	13
Interval_1105	XI	207730	207948	+	219	2	2	6	4	1	8
Interval_1106	XI	210221	210491	+	271	3	3	11	6	3	14
Interval_1107	XI	213082	213471	+	390	2	2	17	2	2	19
Interval_1108	XI	216683	217255	+	573	10	15	40	9	17	46
Interval_1109	XI	219691	220210	+	520	10	13	13	11	14	14
Interval_1110	XI	225979	226447	+	469	7	12	26	8	13	33
Interval_1111	XI	230102	231755	+	1654	41	47	106	44	48	110
Interval_1112	XI	247834	248552	+	719	11	10	42	11	10	41
Interval_1113	XI	258394	259009	+	616	31	34	76	30	40	81
Interval_1114	XI	260286	260945	+	660	17	21	71	17	23	79
Interval_1115	XI	277955	278964	+	1010	14	13	68	16	14	77
Interval_1116	XI	280263	280465	+	203	6	4	2	6	5	2
Interval_1117	XI	296161	296482	+	322	0	1	14	0	2	15
Interval_1118	XI	299113	299318	+	206	1	1	11	1	1	11
Interval_1119	XI	302770	303217	+	448	8	3	11	10	4	14
Interval_1120	XI	307120	307359	+	240	1	3	9	1	3	12
Interval_1121	XI	308055	309111	+	1057	22	29	49	25	33	55
Interval_1122	XI	317051	317472	+	422	7	6	25	8	8	28
Interval_1123	XI	321659	322854	+	1196	22	30	90	23	29	107
Interval_1124	XI	326996	328473	+	1478	39	34	64	38	35	69
Interval_1125	XI	338895	341098	+	2204	26	25	74	30	26	77
Interval_1126	XI	355212	356318	+	1107	42	44	74	40	46	79
Interval_1127	XI	361981	362524	+	544	4	8	28	4	8	31
Interval_1128	XI	368961	369722	+	762	3	8	77	3	7	83
Interval_1129	XI	379394	379810	+	417	4	12	22	3	18	22
Interval_1130	XI	381868	383548	+	1681	32	44	111	31	47	118
Interval_1131	XI	385074	385630	+	557	13	14	40	15	17	46
Interval_1132	XI	392007	392428	+	422	0	2	19	0	2	19
Interval_1133	XI	393442	393855	+	414	4	8	19	5	10	22
Interval_1134	XI	402190	402488	+	299	1	6	10	0	7	11
Interval_1135	XI	402500	402677	+	178	0	4	1	0	5	3
Interval_1136	XI	408146	408600	+	455	7	10	20	10	12	23
Interval_1137	XI	428922	429341	+	420	4	16	27	6	19	24
Interval_1138	XI	431284	431850	+	567	23	17	43	28	17	46
Interval_1139	XI	439366	440047	+	682	8	11	24	10	13	25
Interval_1140	XI	442699	443047	+	349	2	6	16	2	6	18
Interval_1141	XI	445152	445352	+	201	3	1	10	3	1	11
Interval_1142	XI	451226	452130	+	905	9	9	16	11	8	13
Interval_1143	XI	462757	463883	+	1127	17	20	48	20	21	50
Interval_1144	XI	466269	466493	+	225	4	0	13	5	1	13
Interval_1145	XI	476384	476568	+	185	0	1	5	0	0	6
Interval_1146	XI	477866	478581	+	716	2	1	17	2	1	21
Interval_1147	XI	487501	487988	+	488	0	2	15	0	3	16
Interval_1148	XI	493689	493889	+	201	4	2	11	4	2	11
Interval_1149	XI	506322	506743	+	422	5	5	12	6	5	15
Interval_1150	XI	513154	514676	+	1523	21	33	57	25	37	59
Interval_1151	XI	518199	519287	+	1089	56	57	72	61	65	77
Interval_1152	XI	526382	526588	+	207	1	3	2	2	3	2
Interval_1153	XI	533531	534657	+	1127	2	14	34	2	14	34
Interval_1154	XI	535176	535925	+	750	10	7	24	10	7	25
Interval_1155	XI	550971	551741	+	771	3	14	11	3	15	15
Interval_1156	XI	552477	552807	+	331	3	2	13	2	3	13
Interval_1157	XI	554715	554915	+	201	4	5	6	4	7	11
Interval_1158	XI	558363	559727	+	1365	7	9	23	10	8	27
Interval_1159	XI	567279	567750	+	472	3	9	17	5	11	18
Interval_1160	XI	571021	571421	+	401	7	8	14	7	8	14
Interval_1161	XI	578310	579345	+	1036	17	16	17	19	20	21
Interval_1162	XI	580941	582094	+	1154	13	32	40	13	33	36
Interval_1163	XI	589454	590303	+	850	7	23	38	8	25	45
Interval_1164	XI	608321	608759	+	439	1	11	15	1	11	15
Interval_1165	XI	614082	615532	+	1451	22	31	105	25	33	121
Interval_1166	XI	618800	619537	+	738	6	12	26	6	13	30
Interval_1167	XI	625609	626444	+	836	3	3	19	4	3	21
Interval_1168	XI	630331	630903	+	573	13	15	25	15	17	31
Interval_1169	XI	640206	640507	+	302	0	3	13	0	3	16
Interval_1170	XI	666037	666816	+	780	68	53	52	82	55	56
Interval_1171	XII	0	304	+	305	20	21	20	31	42	28
Interval_1172	XII	5528	5971	+	444	22	16	16	34	24	22
Interval_1173	XII	11057	11863	+	807	30	28	30	42	39	37
Interval_1174	XII	17937	18217	+	281	2	0	4	2	0	6
Interval_1175	XII	21975	23539	+	1565	17	8	27	17	9	32
Interval_1176	XII	29439	29906	+	468	4	7	15	4	7	16
Interval_1177	XII	36707	37117	+	411	8	9	13	7	11	13
Interval_1178	XII	40392	40782	+	391	3	9	10	3	10	12
Interval_1179	XII	48732	49858	+	1127	16	9	30	13	9	30
Interval_1180	XII	53866	54954	+	1089	7	5	35	8	6	38
Interval_1181	XII	63709	63951	+	243	0	2	10	2	3	13
Interval_1182	XII	65298	65907	+	610	4	13	34	5	13	35
Interval_1183	XII	73224	73424	+	201	3	0	9	4	0	11
Interval_1184	XII	81130	81366	+	237	2	12	4	2	14	4
Interval_1185	XII	83463	84623	+	1161	16	34	65	18	38	71
Interval_1186	XII	88412	88612	+	201	2	2	12	2	2	13
Interval_1187	XII	92541	92921	+	381	9	6	10	10	9	17
Interval_1188	XII	97106	97796	+	691	3	10	20	3	10	20
Interval_1189	XII	98861	99271	+	411	0	3	20	0	5	29
Interval_1190	XII	100224	100642	+	419	1	6	5	1	7	7
Interval_1191	XII	108071	109570	+	1500	14	13	57	15	13	61
Interval_1192	XII	124941	125378	+	438	3	16	21	4	18	22
Interval_1193	XII	130809	131569	+	761	10	11	24	10	12	20
Interval_1194	XII	147698	147898	+	201	1	4	11	2	2	12
Interval_1195	XII	167713	168850	+	1138	5	12	13	5	14	13
Interval_1196	XII	170066	170277	+	212	0	0	6	0	0	6
Interval_1197	XII	187250	187958	+	709	20	12	47	21	13	51
Interval_1198	XII	193930	194251	+	322	0	2	6	0	2	7
Interval_1199	XII	198072	199623	+	1552	11	26	42	13	29	47
Interval_1200	XII	199766	200300	+	535	8	1	5	10	1	7
Interval_1201	XII	202678	203050	+	373	4	3	16	4	4	18
Interval_1202	XII	212176	212451	+	276	5	4	15	6	2	16
Interval_1203	XII	214570	215035	+	466	2	3	14	2	3	17
Interval_1204	XII	232243	235195	+	2953	70	55	71	72	55	76
Interval_1205	XII	239109	239428	+	320	2	4	12	2	4	17
Interval_1206	XII	241725	242182	+	458	8	13	24	7	15	28
Interval_1207	XII	252993	253808	+	816	12	30	70	14	32	71
Interval_1208	XII	259588	260427	+	840	10	17	22	11	20	22
Interval_1209	XII	281676	281902	+	227	5	1	1	5	1	1
Interval_1210	XII	282569	282980	+	412	5	6	16	6	5	17
Interval_1211	XII	289477	290030	+	554	7	9	31	8	10	33
Interval_1212	XII	320013	320733	+	721	4	2	38	3	1	42
Interval_1213	XII	323070	323452	+	383	5	5	16	7	5	17
Interval_1214	XII	328759	329696	+	938	6	14	46	6	15	48
Interval_1215	XII	332266	332466	+	201	0	4	8	0	5	9
Interval_1216	XII	341108	341722	+	615	6	14	18	7	15	21
Interval_1217	XII	366244	366444	+	201	5	3	16	5	3	20
Interval_1218	XII	368310	368681	+	372	12	10	35	11	11	40
Interval_1219	XII	369725	371357	+	1633	109	95	132	118	104	138
Interval_1220	XII	377223	377585	+	363	4	4	15	6	5	14
Interval_1221	XII	388424	389213	+	790	8	13	47	7	14	51
Interval_1222	XII	390468	391053	+	586	7	10	27	9	12	30
Interval_1223	XII	399286	399765	+	480	3	3	16	3	3	21
Interval_1224	XII	404231	404431	+	201	2	2	9	3	4	11
Interval_1225	XII	406753	407217	+	465	1	6	18	1	6	20
Interval_1226	XII	410134	410514	+	381	10	3	13	9	4	15
Interval_1227	XII	416764	417419	+	656	11	16	21	11	18	22
Interval_1228	XII	423839	424849	+	1011	53	66	100	55	73	107
Interval_1229	XII	439764	441209	+	1446	12	15	29	13	17	30
Interval_1230	XII	444839	445199	+	361	6	9	19	6	9	21
Interval_1231	XII	448481	448907	+	427	13	8	10	15	7	9
Interval_1232	XII	449338	450937	+	1600	32	18	54	32	19	55
Interval_1233	XII	459618	460869	+	1252	573	487	910	2390	1422	2956
Interval_1234	XII	468751	468977	+	227	0	0	0	2	1	7
Interval_1235	XII	489397	491082	+	1686	47	66	86	56	80	110
Interval_1236	XII	493153	493557	+	405	4	5	17	4	6	19
Interval_1237	XII	498354	498848	+	495	7	9	16	8	9	19
Interval_1238	XII	500499	500721	+	223	1	6	12	1	6	14
Interval_1239	XII	504026	504806	+	781	10	9	29	9	10	32
Interval_1240	XII	510341	511051	+	711	6	9	31	6	9	38
Interval_1241	XII	513876	515127	+	1252	10	16	36	9	16	39
Interval_1242	XII	521965	522677	+	713	21	18	49	23	19	53
Interval_1243	XII	523524	523763	+	240	1	4	4	1	6	6
Interval_1244	XII	534393	534775	+	383	2	4	18	3	5	24
Interval_1245	XII	540720	542094	+	1375	10	13	27	11	13	27
Interval_1246	XII	543379	543764	+	386	4	4	8	5	4	11
Interval_1247	XII	551883	552276	+	394	4	11	12	6	13	14
Interval_1248	XII	553345	554477	+	1133	10	16	44	10	16	51
Interval_1249	XII	559200	559416	+	217	2	3	8	3	3	10
Interval_1250	XII	566379	566780	+	402	7	7	11	8	7	13
Interval_1251	XII	576390	576691	+	302	3	2	12	4	2	17
Interval_1252	XII	585957	586330	+	374	2	8	14	2	8	22
Interval_1253	XII	589002	589297	+	296	4	4	16	4	4	19
Interval_1254	XII	592386	592665	+	280	3	5	8	3	6	9
Interval_1255	XII	602519	604017	+	1499	11	17	49	10	18	50
Interval_1256	XII	605036	605618	+	583	7	16	22	10	19	30
Interval_1257	XII	611516	612130	+	615	8	14	21	8	14	26
Interval_1258	XII	628266	628599	+	334	7	7	15	7	10	20
Interval_1259	XII	633367	633718	+	352	2	5	17	4	6	23
Interval_1260	XII	636197	636510	+	314	6	5	17	6	4	18
Interval_1261	XII	637748	639542	+	1795	25	22	27	31	21	29
Interval_1262	XII	645311	646169	+	859	17	25	75	17	26	83
Interval_1263	XII	650880	651276	+	397	2	4	8	8	7	21
Interval_1264	XII	658048	658666	+	619	21	23	60	27	23	66
Interval_1265	XII	660112	660555	+	444	5	6	42	6	7	47
Interval_1266	XII	664938	665642	+	705	8	18	26	8	20	29
