PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_7	I	141752	142140	+	35	NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-228	YAL003W	YAL003W	YAL003W			EFB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_479	XII	728221	728723	+	35	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-469	YLR299C-A	YLR299C-A	YLR299C-A			YLR299C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_708	XVI	794565	794785	+	34	NA	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-177	YPR131C	YPR131C	YPR131C			NAT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_234	VI	55014	55266	+	34	NA	promoter-TSS (YFL039C)	protein_coding-promoter-TSS (YFL039C)	-444	YFL039C	YFL039C	YFL039C			ACT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_502	XIII	5474	5696	+	34	NA	promoter-TSS (YML133C)	protein_coding-promoter-TSS (YML133C)	-901	YML133C	YML133C	YML133C			YML133C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_393	X	690683	690884	+	34	NA	promoter-TSS (YJR139C)	protein_coding-promoter-TSS (YJR139C)	-178	YJR140W-A	YJR140W-A	YJR140W-A			YJR140W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_54	II	642683	642907	+	34	NA	promoter-TSS (YBR208C)	protein_coding-promoter-TSS (YBR208C)	212	YBR209W	YBR209W	YBR209W			YBR209W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_349	VIII	422577	422832	+	34	NA	promoter-TSS (YHR161C)	protein_coding-promoter-TSS (YHR161C)	-368	YHR162W	YHR162W	YHR162W			MPC2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_638	XV	762012	762480	+	34	NA	promoter-TSS (YOR224C)	protein_coding-promoter-TSS (YOR224C)	-162	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_438	XI	614779	615090	+	34	NA	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-796	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_400	XI	75580	75843	+	34	NA	promoter-TSS (YKL195W)	protein_coding-promoter-TSS (YKL195W)	-110	YKL195W	YKL195W	YKL195W			MIA40			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_159	IX	138521	138966	+	34	NA	promoter-TSS (YIL119C)	protein_coding-promoter-TSS (YIL119C)	-866	YIL119C	YIL119C	YIL119C			RPI1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_278	VII	433243	433462	+	34	NA	promoter-TSS (YGL035C)	protein_coding-promoter-TSS (YGL035C)	227	YGL034C	YGL034C	YGL034C			YGL034C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_27	II	202957	203465	+	34	NA	promoter-TSS (YBL011W)	protein_coding-promoter-TSS (YBL011W)	-327	YBL011W	YBL011W	YBL011W			SCT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_176	IX	382193	382434	+	34	NA	promoter-TSS (YIR016W)	protein_coding-promoter-TSS (YIR016W)	-315	YIR016W	YIR016W	YIR016W			YIR016W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_382	X	454798	455281	+	34	NA	promoter-TSS (YJR009C)	protein_coding-promoter-TSS (YJR009C)	-358	YJR009C	YJR009C	YJR009C			TDH2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_386	X	607980	608229	+	33	NA	promoter-TSS (YJR094W-A)	protein_coding-promoter-TSS (YJR094W-A)	-201	YJR094W-A	YJR094W-A	YJR094W-A			RPL43B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_129	IV	1011439	1012035	+	33	NA	promoter-TSS (YDR275W)	protein_coding-promoter-TSS (YDR275W)	223	YDR274C	YDR274C	YDR274C			YDR274C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_350	VIII	450742	451167	+	33	NA	promoter-TSS (YHR174W)	protein_coding-promoter-TSS (YHR174W)	199	YHR173C	YHR173C	YHR173C			YHR173C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_120	IV	835695	836278	+	33	NA	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-435	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_713	XVI	856913	857114	+	33	NA	promoter-TSS (YPR158C-C)	protein_coding-promoter-TSS (YPR158C-C)	111	tA(AGC)P	tA(AGC)P	tA(AGC)P			tA(AGC)P			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_537	XIII	675165	675498	+	33	NA	promoter-TSS (YMR205C)	protein_coding-promoter-TSS (YMR205C)	-565	YMR205C	YMR205C	YMR205C			PFK2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_695	XVI	641203	641892	+	33	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-661	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_658	XV	1039496	1039697	+	33	NA	promoter-TSS (YOR374W)	protein_coding-promoter-TSS (YOR374W)	-244	YOR374W	YOR374W	YOR374W			ALD4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_207	V	284475	285020	+	33	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-525	YER064C	YER064C	YER064C			VHR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_390	X	646966	647327	+	33	NA	promoter-TSS (YJR119C)	protein_coding-promoter-TSS (YJR119C)	20	YJR120W	YJR120W	YJR120W			YJR120W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_269	VII	277224	277551	+	33	NA	promoter-TSS (YGL123W)	protein_coding-promoter-TSS (YGL123W)	-230	YGL123W	YGL123W	YGL123W			RPS2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_409	XI	164550	164846	+	33	NA	promoter-TSS (YKL152C)	protein_coding-promoter-TSS (YKL152C)	-313	YKL152C	YKL152C	YKL152C			GPM1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_341	VIII	267205	267432	+	33	NA	promoter-TSS (YHR080C)	protein_coding-promoter-TSS (YHR080C)	-220	YHR081W	YHR081W	YHR081W			LRP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_61	II	770593	770933	+	33	NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-348	YBR283C	YBR283C	YBR283C			SSH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_583	XIV	631717	632003	+	33	NA	promoter-TSS (YNR001C)	protein_coding-promoter-TSS (YNR001C)	57	tP(AGG)N	tP(AGG)N	tP(AGG)N			SUF10			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_399	XI	67765	68415	+	33	NA	promoter-TSS (YKL201C)	protein_coding-promoter-TSS (YKL201C)	-624	YKL201C	YKL201C	YKL201C			MNN4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_318	VII	987007	987846	+	33	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-623	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_130	IV	1080351	1080847	+	33	NA	promoter-TSS (YDR309C)	protein_coding-promoter-TSS (YDR309C)	-400	YDR309C	YDR309C	YDR309C			GIC2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_53	II	628610	628843	+	33	NA	promoter-TSS (YBR203W)	protein_coding-promoter-TSS (YBR203W)	-442	YBR203W	YBR203W	YBR203W			COS111			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_238	VI	95224	96018	+	32	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-345	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_74	III	163373	163943	+	32	NA	promoter-TSS (YCR024C-A)	protein_coding-promoter-TSS (YCR024C-A)	198	YCR025C	YCR025C	YCR025C			YCR025C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_532	XIII	540158	540799	+	32	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-422	YMR135C	YMR135C	YMR135C			GID8			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_86	IV	130264	130799	+	32	NA	promoter-TSS (YDL184C)	protein_coding-promoter-TSS (YDL184C)	-47	YDL184C	YDL184C	YDL184C			RPL41A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_31	II	332444	332691	+	32	NA	promoter-TSS (YBR048W)	protein_coding-promoter-TSS (YBR048W)	-264	YBR048W	YBR048W	YBR048W			RPS11B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_150	IV	1502432	1502637	+	32	NA	promoter-TSS (YDR533C)	protein_coding-promoter-TSS (YDR533C)	-374	YDR533C	YDR533C	YDR533C			HSP31			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_21	II	140486	141024	+	32	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-492	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_312	VII	883581	884396	+	32	NA	promoter-TSS (YGR192C)	protein_coding-promoter-TSS (YGR192C)	-178	YGR192C	YGR192C	YGR192C			TDH3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_8	I	166283	166608	+	32	NA	promoter-TSS (YAR010C)	protein_coding-promoter-TSS (YAR010C)	178	tA(UGC)A	tA(UGC)A	tA(UGC)A			TGA1			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_469	XII	522083	522677	+	32	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	274	YLR184W	YLR184W	YLR184W			YLR184W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_257	VII	110460	110790	+	32	NA	promoter-TSS (tH(GUG)G1)	tRNA-promoter-TSS (tH(GUG)G1)	71	tH(GUG)G1	tH(GUG)G1	tH(GUG)G1			tH(GUG)G1			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_138	IV	1355568	1355907	+	32	NA	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-184	YDR447C	YDR447C	YDR447C			RPS17B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_43	II	477105	477593	+	32	NA	promoter-TSS (YBR117C)	protein_coding-promoter-TSS (YBR117C)	-322	YBR118W	YBR118W	YBR118W			TEF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_98	IV	368769	369299	+	32	NA	promoter-TSS (YDL047W)	protein_coding-promoter-TSS (YDL047W)	-737	YDL047W	YDL047W	YDL047W			SIT4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_315	VII	959121	959746	+	32	NA	promoter-TSS (YGR234W)	protein_coding-promoter-TSS (YGR234W)	-471	YGR234W	YGR234W	YGR234W			YHB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_163	IX	177508	177949	+	32	NA	promoter-TSS (YIL099W)	protein_coding-promoter-TSS (YIL099W)	-47	YIL100C-A	YIL100C-A	YIL100C-A			YIL100C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_606	XV	216190	216853	+	31	NA	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-384	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_216	V	386864	387096	+	31	NA	promoter-TSS (YER112W)	protein_coding-promoter-TSS (YER112W)	-252	YER112W	YER112W	YER112W			LSM4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_541	XIII	797927	798374	+	31	NA	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-225	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_126	IV	930405	930903	+	31	NA	promoter-TSS (YDR233C)	protein_coding-promoter-TSS (YDR233C)	-297	YDR233C	YDR233C	YDR233C			RTN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_459	XII	416765	417052	+	31	NA	promoter-TSS (YLR136C)	protein_coding-promoter-TSS (YLR136C)	-98	YLR137W	YLR137W	YLR137W			RKM5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_25	II	193420	193889	+	31	NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-468	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_414	XI	230488	231105	+	31	NA	promoter-TSS (YKL110C)	protein_coding-promoter-TSS (YKL110C)	-916	YKL110C	YKL110C	YKL110C			KTI12			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_55	II	662451	662726	+	31	NA	promoter-TSS (YBR218C)	protein_coding-promoter-TSS (YBR218C)	-339	YBR218C	YBR218C	YBR218C			PYC2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_633	XV	670976	671317	+	31	NA	promoter-TSS (YOR178C)	protein_coding-promoter-TSS (YOR178C)	-905	YOR178C	YOR178C	YOR178C			GAC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_306	VII	798229	798440	+	31	NA	promoter-TSS (YGR154C)	protein_coding-promoter-TSS (YGR154C)	-209	YGR155W	YGR155W	YGR155W			CYS4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_140	IV	1362442	1362664	+	31	NA	promoter-TSS (YDR451C)	protein_coding-promoter-TSS (YDR451C)	-325	YDR452W	YDR452W	YDR452W			PPN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_570	XIV	440838	441176	+	31	NA	promoter-TSS (YNL097C-B)	protein_coding-promoter-TSS (YNL097C-B)	-88	YNL097C-B	YNL097C-B	YNL097C-B			YNL097C-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_6	I	71016	71503	+	31	NA	promoter-TSS (YAL038W)	protein_coding-promoter-TSS (YAL038W)	-527	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_691	XVI	527065	527284	+	31	NA	promoter-TSS (YPL014W)	protein_coding-promoter-TSS (YPL014W)	-291	YPL015C	YPL015C	YPL015C			HST2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_81	III	246696	246895	+	31	NA	promoter-TSS (YCR073C)	protein_coding-promoter-TSS (YCR073C)	-168	YCR073W-A	YCR073W-A	YCR073W-A			SOL2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_497	XII	1012117	1012484	+	31	NA	promoter-TSS (YLR437C)	protein_coding-promoter-TSS (YLR437C)	-201	YLR438W	YLR438W	YLR438W			CAR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_117	IV	721601	722054	+	31	NA	promoter-TSS (YDR133C)	protein_coding-promoter-TSS (YDR133C)	-346	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_662	XVI	55929	56342	+	31	NA	promoter-TSS (YPL257W-A)	protein_coding-promoter-TSS (YPL257W-A)	139	tW(CCA)P	tW(CCA)P	tW(CCA)P			tW(CCA)P			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_625	XV	511349	511657	+	31	NA	promoter-TSS (YOR098C)	protein_coding-promoter-TSS (YOR098C)	-322	YOR099W	YOR099W	YOR099W			KTR1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_93	IV	321629	322212	+	31	NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-306	YDL075W	YDL075W	YDL075W			RPL31A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_148	IV	1489672	1490488	+	31	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-90	YDR524C-A	YDR524C-A	YDR524C-A			YDR524C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_12	II	60	275	+	31	NA	promoter-TSS (YBL113W-A)	protein_coding-promoter-TSS (YBL113W-A)	-479	YBL113W-A	YBL113W-A	YBL113W-A			YBL113W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_659	XV	1043340	1043552	+	31	NA	promoter-TSS (YOR375C)	protein_coding-promoter-TSS (YOR375C)	255	YOR376W	YOR376W	YOR376W			YOR376W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_590	XIV	739110	739530	+	31	NA	promoter-TSS (YNR060W)	protein_coding-promoter-TSS (YNR060W)	-631	YNR060W	YNR060W	YNR060W			FRE4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_368	X	224022	224386	+	30	NA	promoter-TSS (YJL105W)	protein_coding-promoter-TSS (YJL105W)	-851	YJL105W	YJL105W	YJL105W			SET4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_122	IV	884445	884712	+	30	NA	promoter-TSS (YDR210C-C)	protein_coding-promoter-TSS (YDR210C-C)	-149	YDR211W	YDR211W	YDR211W			GCD6			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_566	XIV	355267	355859	+	30	NA	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-521	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_689	XVI	517295	517494	+	30	NA	promoter-TSS (YPL018W)	protein_coding-promoter-TSS (YPL018W)	-257	YPL018W	YPL018W	YPL018W			CTF19			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_69	III	78113	78638	+	30	NA	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-456	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_648	XV	901219	901656	+	30	NA	promoter-TSS (YOR312C)	protein_coding-promoter-TSS (YOR312C)	-243	YOR312C	YOR312C	YOR312C			RPL20B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_484	XII	808900	809476	+	30	NA	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-809	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_252	VII	23282	23763	+	30	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-413	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_663	XVI	67009	67303	+	30	NA	promoter-TSS (YPL255W)	protein_coding-promoter-TSS (YPL255W)	-542	YPL256C	YPL256C	YPL256C			CLN2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_347	VIII	375165	375523	+	30	NA	promoter-TSS (YHR136C)	protein_coding-promoter-TSS (YHR136C)	-244	YHR136C	YHR136C	YHR136C			SPL2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_381	X	424177	424594	+	30	NA	promoter-TSS (YJL005W)	protein_coding-promoter-TSS (YJL005W)	130	tL(UAA)J	tL(UAA)J	tL(UAA)J			SUP51			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_483	XII	796406	797195	+	30	NA	promoter-TSS (YLR333C)	protein_coding-promoter-TSS (YLR333C)	278	YLR334C	YLR334C	YLR334C			YLR334C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_555	XIV	104705	104908	+	30	NA	promoter-TSS (YNL284C)	protein_coding-promoter-TSS (YNL284C)	1	tT(AGU)N1	tT(AGU)N1	tT(AGU)N1			tT(AGU)N1			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_604	XV	168018	168331	+	30	NA	promoter-TSS (YOL082W)	protein_coding-promoter-TSS (YOL082W)	-553	YOL082W	YOL082W	YOL082W			ATG19			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_262	VII	165269	165501	+	30	NA	promoter-TSS (YGL179C)	protein_coding-promoter-TSS (YGL179C)	-294	YGL179C	YGL179C	YGL179C			TOS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_716	XVI	927795	928352	+	29	NA	exon (YPR195C, exon 1 of 1)	protein_coding-exon (YPR195C, exon 1 of 1)	221	YPR195C	YPR195C	YPR195C			YPR195C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_370	X	236566	236782	+	29	NA	promoter-TSS (YJL100W)	protein_coding-promoter-TSS (YJL100W)	-318	YJL101C	YJL101C	YJL101C			GSH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_52	II	624830	625339	+	29	NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-388	YBR201C-A	YBR201C-A	YBR201C-A			YBR201C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_476	XII	704328	704891	+	29	NA	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	224	YLR280C	YLR280C	YLR280C			YLR280C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_127	IV	976221	977035	+	29	NA	promoter-TSS (YDR259C)	protein_coding-promoter-TSS (YDR259C)	601	YDR260C	YDR260C	YDR260C			SWM1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_656	XV	989257	989603	+	29	NA	promoter-TSS (YOR348C)	protein_coding-promoter-TSS (YOR348C)	-359	YOR349W	YOR349W	YOR349W			CIN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_9	I	181080	181404	+	29	NA	TTS (tL(CAA)A)	tRNA-TTS (tL(CAA)A)	101	tL(CAA)A	tL(CAA)A	tL(CAA)A			SUP56			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_233	VI	31083	31282	+	29	NA	promoter-TSS (YFL051C)	protein_coding-promoter-TSS (YFL051C)	-642	YFL051C	YFL051C	YFL051C			YFL051C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_178	IX	386621	386854	+	29	NA	Intergenic	Intergenic	-1036	YIR018C-A	YIR018C-A	YIR018C-A			YIR018C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_559	XIV	198122	198779	+	29	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-507	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_528	XIII	433701	434623	+	29	NA	promoter-TSS (YMR083W)	protein_coding-promoter-TSS (YMR083W)	-626	YMR083W	YMR083W	YMR083W			ADH3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_181	IX	427298	427686	+	29	NA	Intergenic	Intergenic	-2979	YIR038C	YIR038C	YIR038C			GTT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_703	XVI	731823	732276	+	29	NA	promoter-TSS (YPR102C)	protein_coding-promoter-TSS (YPR102C)	-300	YPR103W	YPR103W	YPR103W			PRE2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_694	XVI	586071	586490	+	29	NA	promoter-TSS (YPR013C)	protein_coding-promoter-TSS (YPR013C)	-695	YPR013C	YPR013C	YPR013C			CMR3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_670	XVI	172929	173155	+	29	NA	promoter-TSS (YPL198W)	protein_coding-promoter-TSS (YPL198W)	-110	YPL198W	YPL198W	YPL198W			RPL7B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_243	VI	204887	205086	+	29	NA	promoter-TSS (YFR025C)	protein_coding-promoter-TSS (YFR025C)	10	tA(AGC)F	tA(AGC)F	tA(AGC)F			tA(AGC)F			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_514	XIII	225469	225888	+	29	NA	promoter-TSS (YML024W)	protein_coding-promoter-TSS (YML024W)	-211	YML024W	YML024W	YML024W			RPS17A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_596	XV	27865	28064	+	29	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	880	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_563	XIV	301819	302375	+	29	NA	promoter-TSS (YNL178W)	protein_coding-promoter-TSS (YNL178W)	-583	YNL178W	YNL178W	YNL178W			RPS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_711	XVI	828883	829515	+	29	NA	promoter-TSS (YPR149W)	protein_coding-promoter-TSS (YPR149W)	-719	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_196	V	152706	153342	+	28	NA	promoter-TSS (YER001W)	protein_coding-promoter-TSS (YER001W)	-496	YER001W	YER001W	YER001W			MNN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_660	XVI	22580	22854	+	28	NA	promoter-TSS (YPL274W)	protein_coding-promoter-TSS (YPL274W)	-221	YPL274W	YPL274W	YPL274W			SAM3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_471	XII	611839	612048	+	28	NA	promoter-TSS (YLR235C)	protein_coding-promoter-TSS (YLR235C)	-13	YLR235C	YLR235C	YLR235C			YLR235C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_422	XI	322496	322748	+	28	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-606	YKL062W	YKL062W	YKL062W			MSN4			protein_coding
